"target","type","time","time_scale","n.risk","n.event","survival","se","var","lower_95_CI","upper_95_CI"
"Survival","OS",0,"days",718,0,1,0,0,1,1
"Survival","OS",30,"days",710,0,1,0,0,1,1
"Survival","OS",60,"days",699,1,0.998571428571429,0.00142755065571614,2.03790087463557e-06,0.99577739689754,1
"Survival","OS",90,"days",699,0,0.998571428571429,0.00142755065571614,2.03790087463557e-06,0.99577739689754,1
"Survival","OS",120,"days",699,0,0.998571428571429,0.00142755065571614,2.03790087463557e-06,0.99577739689754,1
"Survival","OS",150,"days",636,0,0.998571428571429,0.00142755065571614,2.03790087463557e-06,0.99577739689754,1
"Survival","OS",180,"days",636,0,0.998571428571429,0.00142755065571614,2.03790087463557e-06,0.99577739689754,1
"Survival","OS",210,"days",636,0,0.998571428571429,0.00142755065571614,2.03790087463557e-06,0.99577739689754,1
"Survival","OS",240,"days",628,5,0.990693708452846,0.00378414539638047,1.43197563809475e-05,0.983304613357025,0.99813832929887
"Survival","OS",270,"days",628,0,0.990693708452846,0.00378414539638047,1.43197563809475e-05,0.983304613357025,0.99813832929887
"Survival","OS",300,"days",628,0,0.990693708452846,0.00378414539638047,1.43197563809475e-05,0.983304613357025,0.99813832929887
"Survival","OS",330,"days",628,0,0.990693708452846,0.00378414539638047,1.43197563809475e-05,0.983304613357025,0.99813832929887
"Survival","OS",360,"days",628,0,0.990693708452846,0.00378414539638047,1.43197563809475e-05,0.983304613357025,0.99813832929887
"Survival","OS",390,"days",628,0,0.990693708452846,0.00378414539638047,1.43197563809475e-05,0.983304613357025,0.99813832929887
"Survival","OS",420,"days",628,0,0.990693708452846,0.00378414539638047,1.43197563809475e-05,0.983304613357025,0.99813832929887
"Survival","OS",450,"days",628,0,0.990693708452846,0.00378414539638047,1.43197563809475e-05,0.983304613357025,0.99813832929887
"Survival","OS",480,"days",628,0,0.990693708452846,0.00378414539638047,1.43197563809475e-05,0.983304613357025,0.99813832929887
"Survival","OS",510,"days",628,0,0.990693708452846,0.00378414539638047,1.43197563809475e-05,0.983304613357025,0.99813832929887
"Survival","OS",540,"days",628,0,0.990693708452846,0.00378414539638047,1.43197563809475e-05,0.983304613357025,0.99813832929887
"Survival","OS",570,"days",628,0,0.990693708452846,0.00378414539638047,1.43197563809475e-05,0.983304613357025,0.99813832929887
"Survival","OS",600,"days",628,0,0.990693708452846,0.00378414539638047,1.43197563809475e-05,0.983304613357025,0.99813832929887
"Survival","OS",630,"days",628,0,0.990693708452846,0.00378414539638047,1.43197563809475e-05,0.983304613357025,0.99813832929887
