"time","St"
0,1
0.024,1
0.032,1
0.04,0.9890625
0.272,0.9890625
0.28,0.9875
0.304,0.9875
0.312,0.984375
0.592,0.984375
0.6,0.9828125
0.728,0.9828125
0.736,0.9796875
1.024,0.9796875
1.032,0.975
1.16,0.975
1.168,0.9734375
1.168,0.9734375
1.176,0.96875
2.008,0.96875
2.016,0.9671875
2.032,0.9671875
2.04,0.9640625
2.04,0.9640625
2.048,0.9625
2.352,0.9625
2.36,0.9609375
2.36,0.9609375
2.368,0.959375
2.456,0.959375
2.464,0.9578125
2.464,0.9578125
2.472,0.95625
3.496,0.95625
3.504,0.95
3.504,0.95
3.512,0.9484375
4.488,0.9484375
4.496,0.9453125
4.504,0.9453125
