"Strategy","Costs ($)","QALYs","Incremental Costs ($)","Incremental QALYs","ICER ($/QALY)","Status","discount","scenario"
"Standard of Care","356,639",32.64,,,,"ND","discounted","base_case"
"Blinatumomab","399,444",34.07,"42,805",1.43,"29,838","ND","discounted","base_case"
"Standard of Care","407,519",52.73,,,,"ND","undiscounted","base_case"
"Blinatumomab","450,144",55.17,"42,625",2.44,"17,489","ND","undiscounted","base_case"
"Standard of Care","354,708",32.64,,,,"ND","discounted","blina_cost_low"
"Blinatumomab","390,194",34.07,"35,485",1.43,"24,736","ND","discounted","blina_cost_low"
"Standard of Care","358,570",32.63,,,,"ND","discounted","blina_cost_high"
"Blinatumomab","408,694",34.07,"50,123",1.43,"34,942","ND","discounted","blina_cost_high"
"Standard of Care","356,833",32.64,,,,"ND","discounted","ivig"
"Blinatumomab","400,554",34.07,"43,721",1.43,"30,476","ND","discounted","ivig"
