"time","surv_median","surv_mean","surv_lcl","surv_ucl","arm","outcome","n_sim"
0,1,1,1,1,"BSC","OS",500
30,0.99865,0.997779666666667,0.9901175,0.999833333333333,"BSC","OS",500
60,0.996066666666667,0.994993466666667,0.98526,0.999084166666667,"BSC","OS",500
90,0.992516666666667,0.991461666666667,0.979449166666667,0.9975175,"BSC","OS",500
120,0.9887,0.987646866666667,0.973504166666667,0.995166666666667,"BSC","OS",500
150,0.985083333333333,0.984054533333333,0.9682475,0.992884166666667,"BSC","OS",500
180,0.9822,0.980942533333333,0.963379166666667,0.9908175,"BSC","OS",500
210,0.979683333333333,0.978336933333333,0.959749166666667,0.989090833333333,"BSC","OS",500
240,0.977566666666667,0.9760806,0.95666,0.987584166666667,"BSC","OS",500
270,0.97555,0.974079333333333,0.9542725,0.986368333333333,"BSC","OS",500
300,0.97375,0.972267066666667,0.952243333333333,0.985233333333333,"BSC","OS",500
330,0.9722,0.970582466666667,0.950260833333333,0.9838875,"BSC","OS",500
360,0.970633333333333,0.968988933333333,0.948284166666667,0.98254,"BSC","OS",500
390,0.96915,0.967474533333333,0.946514166666667,0.981459166666667,"BSC","OS",500
420,0.96765,0.966022933333333,0.944296666666667,0.980384166666667,"BSC","OS",500
450,0.966216666666667,0.964626333333333,0.9422925,0.979401666666667,"BSC","OS",500
480,0.9648,0.9632568,0.941056666666667,0.97837,"BSC","OS",500
510,0.963283333333333,0.961929,0.9388325,0.977336666666667,"BSC","OS",500
540,0.96185,0.960644866666667,0.936555833333333,0.976484166666667,"BSC","OS",500
570,0.960416666666667,0.9593676,0.9343475,0.975459166666667,"BSC","OS",500
600,0.95925,0.958103133333333,0.932323333333333,0.974435,"BSC","OS",500
630,0.95795,0.956863666666667,0.930486666666667,0.97327,"BSC","OS",500
660,0.956766666666667,0.9556474,0.9288,0.9723925,"BSC","OS",500
690,0.955566666666667,0.954431333333333,0.926980833333333,0.9712275,"BSC","OS",500
720,0.9542,0.953241,0.925454166666667,0.970020833333333,"BSC","OS",500
750,0.953116666666667,0.952058133333333,0.923988333333333,0.969068333333333,"BSC","OS",500
780,0.9519,0.950875266666667,0.922840833333333,0.968250833333333,"BSC","OS",500
810,0.9507,0.949725333333333,0.921540833333333,0.967433333333334,"BSC","OS",500
840,0.949666666666667,0.9485786,0.920358333333334,0.966235,"BSC","OS",500
870,0.948533333333333,0.947425866666667,0.919369166666667,0.9652925,"BSC","OS",500
900,0.94725,0.946269266666667,0.918225,0.964324166666667,"BSC","OS",500
930,0.946183333333333,0.945126733333333,0.916933333333334,0.963519166666667,"BSC","OS",500
960,0.945016666666667,0.943992333333333,0.915128333333334,0.962585833333333,"BSC","OS",500
990,0.943766666666667,0.942850266666667,0.91382,0.9616225,"BSC","OS",500
1020,0.942683333333334,0.941725933333333,0.912253333333334,0.960541666666667,"BSC","OS",500
1050,0.94175,0.940595933333333,0.910869166666667,0.959503333333334,"BSC","OS",500
1080,0.940516666666667,0.939474933333333,0.909564166666667,0.958560833333334,"BSC","OS",500
1110,0.939483333333333,0.938370866666667,0.908034166666667,0.957618333333333,"BSC","OS",500
1140,0.9384,0.9372638,0.906699166666667,0.956669166666667,"BSC","OS",500
1170,0.937283333333333,0.9361556,0.9055375,0.955625,"BSC","OS",500
1200,0.936166666666667,0.9350628,0.904375833333333,0.9547975,"BSC","OS",500
1230,0.935233333333333,0.9339504,0.902983333333333,0.953935833333333,"BSC","OS",500
1260,0.93415,0.932850666666667,0.9017975,0.953035833333333,"BSC","OS",500
1290,0.93305,0.931748066666667,0.900964166666667,0.951990833333333,"BSC","OS",500
1320,0.932033333333333,0.930665533333333,0.899395833333334,0.951185833333333,"BSC","OS",500
1350,0.93095,0.929583133333333,0.898378333333334,0.950085833333333,"BSC","OS",500
1380,0.92985,0.928522333333333,0.897329166666667,0.949160833333333,"BSC","OS",500
1410,0.928766666666667,0.927453733333333,0.896159166666667,0.948365833333333,"BSC","OS",500
1440,0.927933333333333,0.926378533333333,0.894915,0.9476975,"BSC","OS",500
1470,0.926816666666667,0.925316866666667,0.893856666666667,0.946969166666667,"BSC","OS",500
1500,0.92565,0.924256133333333,0.892804166666667,0.946103333333334,"BSC","OS",500
1530,0.9248,0.923216133333333,0.891853333333333,0.94507,"BSC","OS",500
1560,0.923733333333334,0.922196866666667,0.890849166666666,0.944468333333333,"BSC","OS",500
1590,0.922883333333333,0.9211832,0.889915833333333,0.943805,"BSC","OS",500
1620,0.9217,0.920185933333333,0.8888125,0.943050833333333,"BSC","OS",500
1650,0.920816666666666,0.919199333333333,0.887483333333334,0.94221,"BSC","OS",500
1680,0.91965,0.918245066666667,0.88636,0.941454166666666,"BSC","OS",500
1710,0.91855,0.917272733333333,0.885253333333333,0.9406,"BSC","OS",500
1740,0.9176,0.916321133333333,0.88406,0.9398525,"BSC","OS",500
1770,0.916583333333333,0.915383533333333,0.8827125,0.939268333333333,"BSC","OS",500
1800,0.915683333333333,0.914468733333333,0.881314166666667,0.9387525,"BSC","OS",500
1830,0.9147,0.913564533333333,0.879809166666667,0.938266666666667,"BSC","OS",500
1860,0.9139,0.912683866666667,0.878231666666667,0.937550833333333,"BSC","OS",500
1890,0.913083333333333,0.911825266666667,0.8768475,0.937066666666667,"BSC","OS",500
1920,0.912183333333333,0.9109784,0.8755425,0.936571666666667,"BSC","OS",500
1950,0.9113,0.910147933333333,0.874166666666667,0.935994166666667,"BSC","OS",500
1980,0.910516666666667,0.909321333333333,0.873128333333334,0.935248333333334,"BSC","OS",500
2010,0.909733333333333,0.908521866666667,0.872105833333333,0.9346325,"BSC","OS",500
2040,0.9091,0.907739066666667,0.8708625,0.9341925,"BSC","OS",500
2070,0.908416666666666,0.906967733333333,0.869835833333333,0.933646666666667,"BSC","OS",500
2100,0.907583333333333,0.906234333333333,0.868670833333334,0.933101666666667,"BSC","OS",500
2130,0.906833333333333,0.9055132,0.867643333333333,0.932635,"BSC","OS",500
2160,0.906116666666667,0.9048042,0.8667875,0.932150833333333,"BSC","OS",500
2190,0.9053,0.9040906,0.865895,0.93167,"BSC","OS",500
2220,0.904583333333333,0.903404666666667,0.865025,0.931050833333333,"BSC","OS",500
2250,0.90395,0.902734333333333,0.8641325,0.930484166666667,"BSC","OS",500
2280,0.90315,0.902077266666667,0.8632375,0.930084166666666,"BSC","OS",500
2310,0.902416666666667,0.901433933333333,0.862521666666667,0.9295525,"BSC","OS",500
2340,0.901616666666667,0.9008028,0.861979166666667,0.929054166666666,"BSC","OS",500
2370,0.901,0.9001806,0.861373333333334,0.928503333333333,"BSC","OS",500
2400,0.9004,0.899574333333333,0.860713333333334,0.927850833333334,"BSC","OS",500
2430,0.899783333333333,0.8989892,0.8601425,0.927336666666667,"BSC","OS",500
2460,0.8992,0.898417266666667,0.8594125,0.9269225,"BSC","OS",500
