"Strategy","meanCost","meanEffect","discount","scenario"
"Blinatumomab and chemotherapy",398316.490799115,34.0697499341657,"discounted","base_case"
"Chemotherapy only",354637.544284967,32.635171280576,"discounted","base_case"
"Blinatumomab and chemotherapy",448796.510119228,55.1683385028152,"undiscounted","base_case"
"Chemotherapy only",405305.313113542,52.7311161158924,"undiscounted","base_case"
"Blinatumomab and chemotherapy",389065.860983899,34.0697499341657,"discounted","blina_cost_low"
"Chemotherapy only",352706.393646037,32.635171280576,"discounted","blina_cost_low"
"Blinatumomab and chemotherapy",407568.129060233,34.0697499341657,"discounted","blina_cost_high"
"Chemotherapy only",356568.077255855,32.635171280576,"discounted","blina_cost_high"
"Blinatumomab and chemotherapy",399431.018402449,34.0697665341324,"discounted","ivig"
"Chemotherapy only",354831.245911042,32.635171280576,"discounted","ivig"
