"","Overall"
"n","30000"
"age_Dx (mean (SD))"," 8.58 (4.68)"
"sexM = 1 (%)","15838 ( 52.8) "
"ruralY = 1 (%)"," 3153 ( 10.5) "
"dxyear (%)",""
"   0","  845 (  2.8) "
"   1","  973 (  3.2) "
"   2"," 2237 (  7.5) "
"   3"," 2448 (  8.2) "
"   4"," 2998 ( 10.0) "
"   5"," 2597 (  8.7) "
"   6"," 3026 ( 10.1) "
"   7"," 2668 (  8.9) "
"   8"," 4046 ( 13.5) "
"   9"," 3154 ( 10.5) "
"   10"," 5008 ( 16.7) "
"wbc_cat>=50 = 1 (%)","17146 ( 57.2) "
"lineageT = 0 (%)","30000 (100.0) "
"leukemia_risk_groupstandard = 0 (%)","30000 (100.0) "
