"Metric","Chemotherapy only","Blinatumomab and chemotherapy","Incremental","discount","scenario"
"Costs","345378.46 (302075.92, 393055.85)","392935.66 (354466.69, 447049.21)","47557.20 (28296.08, 68304.31)","discounted","base_case"
"QALYs","32.38 (30.48, 34.22)","33.95 (32.10, 35.65)","1.57 (0.81, 2.45)","discounted","base_case"
"ICER","","","30326.34","discounted","base_case"
"Costs","394485.37 (340799.84, 469266.32)","441837.65 (388568.97, 515771.58)","47352.28 (25883.67, 73400.41)","undiscounted","base_case"
"QALYs","52.32 (49.09, 55.50)","54.98 (51.73, 57.98)","2.66 (1.31, 4.20)","undiscounted","base_case"
"ICER","","","17803.72","undiscounted","base_case"
"Costs","333592.32 (292351.27, 380042.72)","377918.70 (342941.12, 429740.06)","44326.38 (26002.04, 63026.27)","discounted","blina_cost_low"
"QALYs","32.39 (30.48, 34.22)","33.96 (32.10, 35.65)","1.57 (0.81, 2.45)","discounted","blina_cost_low"
"ICER","","","28277.32","discounted","blina_cost_low"
"Costs","333592.32 (292351.27, 380042.72)","394182.33 (359227.36, 446021.18)","60590.01 (42306.49, 79296.43)","discounted","blina_cost_high"
"QALYs","32.39 (30.48, 34.22)","33.96 (32.10, 35.65)","1.57 (0.81, 2.45)","discounted","blina_cost_high"
"ICER","","","38652.45","discounted","blina_cost_high"
"Costs","333592.32 (292351.27, 380042.72)","387067.62 (352085.08, 438852.37)","53475.30 (35243.82, 72258.23)","discounted","ivig"
"QALYs","32.39 (30.48, 34.22)","33.96 (32.10, 35.65)","1.57 (0.81, 2.45)","discounted","ivig"
"ICER","","","34113.37","discounted","ivig"
