"time","surv_median","surv_mean","surv_lcl","surv_ucl","arm","outcome","n_sim"
0,1,1,1,1,"BSC","PFS",500
30,0.9974,0.996104,0.984443333333333,0.999533333333333,"BSC","PFS",500
60,0.993233333333333,0.991674466666667,0.9765825,0.9979,"BSC","PFS",500
90,0.987733333333333,0.9861478,0.968161666666667,0.9952525,"BSC","PFS",500
120,0.98185,0.980032466666667,0.958848333333334,0.991138333333333,"BSC","PFS",500
150,0.975333333333333,0.9738754,0.951026666666667,0.9873275,"BSC","PFS",500
180,0.969266666666667,0.9679154,0.942626666666667,0.9832175,"BSC","PFS",500
210,0.963566666666667,0.9621356,0.935714166666667,0.97877,"BSC","PFS",500
240,0.957783333333333,0.956416066666667,0.929098333333333,0.973905,"BSC","PFS",500
270,0.952383333333333,0.950751466666667,0.922246666666667,0.969441666666667,"BSC","PFS",500
300,0.946833333333333,0.9451712,0.9146075,0.9647,"BSC","PFS",500
330,0.941416666666667,0.939778333333333,0.907916666666667,0.959968333333333,"BSC","PFS",500
360,0.936366666666667,0.934629,0.901965833333333,0.955924166666667,"BSC","PFS",500
390,0.931833333333333,0.929708,0.8963925,0.951735,"BSC","PFS",500
420,0.92695,0.9249932,0.890858333333333,0.947594166666667,"BSC","PFS",500
450,0.92225,0.920457266666667,0.8867675,0.944535,"BSC","PFS",500
480,0.918333333333334,0.9160742,0.880920833333333,0.94114,"BSC","PFS",500
510,0.914333333333334,0.911849666666667,0.8757125,0.937754166666667,"BSC","PFS",500
540,0.910133333333333,0.907737666666667,0.870500833333333,0.934630833333333,"BSC","PFS",500
570,0.9065,0.903764333333333,0.865541666666667,0.932135,"BSC","PFS",500
600,0.902516666666667,0.899834066666667,0.860715,0.929136666666667,"BSC","PFS",500
630,0.8983,0.8959674,0.856765833333333,0.926468333333333,"BSC","PFS",500
660,0.894483333333333,0.8922334,0.852444166666666,0.92332,"BSC","PFS",500
690,0.8909,0.888568333333333,0.84803,0.920133333333333,"BSC","PFS",500
720,0.8874,0.8849768,0.843329166666667,0.91744,"BSC","PFS",500
750,0.88385,0.881395333333333,0.839356666666667,0.914698333333333,"BSC","PFS",500
780,0.880583333333333,0.877876666666667,0.835249166666667,0.912184166666667,"BSC","PFS",500
810,0.876633333333333,0.874394266666667,0.831125,0.909211666666667,"BSC","PFS",500
840,0.873333333333333,0.870914133333333,0.826748333333333,0.906201666666667,"BSC","PFS",500
870,0.8699,0.867478333333333,0.822531666666667,0.903230833333333,"BSC","PFS",500
900,0.86645,0.864052266666667,0.817409166666667,0.900489166666667,"BSC","PFS",500
930,0.863066666666667,0.860648533333333,0.813363333333333,0.897989166666667,"BSC","PFS",500
960,0.859766666666667,0.8572764,0.80957,0.895785833333334,"BSC","PFS",500
990,0.85605,0.853890866666667,0.805314166666667,0.893184166666667,"BSC","PFS",500
1020,0.8527,0.850507533333333,0.801061666666667,0.890381666666667,"BSC","PFS",500
1050,0.84905,0.847125266666667,0.796801666666667,0.887275833333333,"BSC","PFS",500
1080,0.845766666666667,0.843764,0.792961666666667,0.8849175,"BSC","PFS",500
1110,0.842333333333333,0.840412133333333,0.789755833333334,0.881940833333333,"BSC","PFS",500
1140,0.8388,0.837070466666667,0.786000833333333,0.87875,"BSC","PFS",500
1170,0.835733333333333,0.8337572,0.78236,0.875920833333333,"BSC","PFS",500
1200,0.832616666666667,0.830531733333333,0.77848,0.873266666666667,"BSC","PFS",500
1230,0.829533333333333,0.827315533333333,0.774971666666667,0.870961666666667,"BSC","PFS",500
1260,0.826183333333333,0.8242028,0.772039166666667,0.8683925,"BSC","PFS",500
1290,0.823,0.821139733333333,0.7687625,0.865535833333334,"BSC","PFS",500
1320,0.82025,0.818188866666667,0.765668333333333,0.863253333333333,"BSC","PFS",500
1350,0.817183333333333,0.815311,0.762013333333333,0.8608675,"BSC","PFS",500
1380,0.814283333333333,0.812531533333333,0.758629166666666,0.858881666666667,"BSC","PFS",500
1410,0.811366666666667,0.809851933333333,0.755466666666666,0.857029166666667,"BSC","PFS",500
1440,0.808966666666667,0.807243466666667,0.752786666666667,0.8550925,"BSC","PFS",500
1470,0.80655,0.804764266666667,0.749873333333333,0.853033333333333,"BSC","PFS",500
1500,0.8039,0.8023502,0.747093333333333,0.851136666666666,"BSC","PFS",500
1530,0.801416666666667,0.800081533333333,0.744158333333333,0.849104999999999,"BSC","PFS",500
1560,0.799633333333334,0.797883,0.74155,0.847284166666666,"BSC","PFS",500
1590,0.7974,0.7957654,0.738853333333333,0.845750833333333,"BSC","PFS",500
1620,0.795383333333334,0.793752866666667,0.735893333333333,0.844352499999999,"BSC","PFS",500
1650,0.793383333333334,0.7918228,0.733466666666667,0.842892499999999,"BSC","PFS",500
1680,0.791866666666666,0.789973666666667,0.731585,0.841509999999999,"BSC","PFS",500
1710,0.790083333333333,0.788193933333333,0.72988,0.840038333333333,"BSC","PFS",500
1740,0.788216666666666,0.786464933333333,0.72812,0.838704999999999,"BSC","PFS",500
1770,0.786833333333333,0.784837466666667,0.726375833333333,0.837590833333333,"BSC","PFS",500
1800,0.785033333333333,0.78324,0.7245775,0.836439999999999,"BSC","PFS",500
1830,0.783366666666667,0.781723733333333,0.722936666666667,0.835254166666666,"BSC","PFS",500
