"Strategy","meanCost","meanEffect","discount","scenario"
"Blinatumomab and chemotherapy",392935.659167856,33.9527938341904,"discounted","base_case"
"Chemotherapy only",345378.455096391,32.3846125694447,"discounted","base_case"
"Blinatumomab and chemotherapy",441837.646142424,54.9776105927125,"undiscounted","base_case"
"Chemotherapy only",394485.367899384,52.3179255936999,"undiscounted","base_case"
"Blinatumomab and chemotherapy",377918.698640925,33.9557729118246,"discounted","blina_cost_low"
"Chemotherapy only",333592.317028005,32.3882135037044,"discounted","blina_cost_low"
"Blinatumomab and chemotherapy",394182.325380956,33.9557729118246,"discounted","blina_cost_high"
"Chemotherapy only",333592.317028005,32.3882135037044,"discounted","blina_cost_high"
"Blinatumomab and chemotherapy",387067.616439302,33.9557895211256,"discounted","ivig"
"Chemotherapy only",333592.317028005,32.3882135037044,"discounted","ivig"
