"Metric","Chemotherapy only","Blinatumomab and chemotherapy","Incremental","discount","scenario"
"Costs","271578.30 (240990.05, 309562.97)","305251.98 (278032.75, 339148.97)","33673.68 (16535.64, 48235.47)","discounted","base_case"
"QALYs","36.02 (34.15, 37.59)","37.12 (35.44, 38.57)","1.10 (0.57, 1.84)","discounted","base_case"
"ICER","","","30666.72","discounted","base_case"
"Costs","321644.78 (277002.59, 380597.33)","354121.40 (310524.27, 414776.95)","32476.62 (13778.22, 48351.41)","undiscounted","base_case"
"QALYs","59.74 (56.20, 62.71)","61.65 (58.54, 64.34)","1.92 (0.97, 3.21)","undiscounted","base_case"
"ICER","","","16950.99","undiscounted","base_case"
"Costs","270416.71 (240116.40, 307873.59)","298865.95 (272081.35, 332198.87)","28449.24 (11536.49, 42800.87)","discounted","blina_cost_low"
"QALYs","36.02 (34.15, 37.59)","37.12 (35.44, 38.57)","1.10 (0.57, 1.84)","discounted","blina_cost_low"
"ICER","","","25908.80","discounted","blina_cost_low"
"Costs","272739.64 (242136.65, 311632.56)","311637.93 (283984.21, 346098.99)","38898.28 (21530.19, 53670.58)","discounted","blina_cost_high"
"QALYs","36.02 (34.15, 37.59)","37.12 (35.44, 38.57)","1.10 (0.57, 1.84)","discounted","blina_cost_high"
"ICER","","","35424.78","discounted","blina_cost_high"
"Costs","271670.26 (241079.34, 309720.53)","305825.59 (278553.09, 339722.73)","34155.33 (17054.60, 48709.92)","discounted","ivig"
"QALYs","36.02 (34.15, 37.59)","37.12 (35.44, 38.57)","1.10 (0.57, 1.84)","discounted","ivig"
"ICER","","","31104.88","discounted","ivig"
