"Strategy","Costs ($)","QALYs","Incremental Costs ($)","Incremental QALYs","ICER ($/QALY)","Status","discount","scenario"
"Standard of Care","271,578",36.02,,,,"ND","discounted","base_case"
"Blinatumomab","305,252",37.12,"33,674",1.1,"30,667","ND","discounted","base_case"
"Standard of Care","321,645",59.74,,,,"ND","undiscounted","base_case"
"Blinatumomab","354,121",61.65,"32,477",1.92,"16,951","ND","undiscounted","base_case"
"Standard of Care","270,417",36.02,,,,"ND","discounted","blina_cost_low"
"Blinatumomab","298,866",37.12,"28,449",1.1,"25,909","ND","discounted","blina_cost_low"
"Standard of Care","272,740",36.02,,,,"ND","discounted","blina_cost_high"
"Blinatumomab","311,638",37.12,"38,898",1.1,"35,425","ND","discounted","blina_cost_high"
"Standard of Care","271,670",36.02,,,,"ND","discounted","ivig"
"Blinatumomab","305,826",37.12,"34,155",1.1,"31,105","ND","discounted","ivig"
