"Strategy","meanCost","meanEffect","discount","scenario"
"Blinatumomab and chemotherapy",305251.978536063,37.1219316740837,"discounted","base_case"
"Chemotherapy only",271578.301344417,36.0238787149217,"discounted","base_case"
"Blinatumomab and chemotherapy",354121.403777192,61.6519009103439,"undiscounted","base_case"
"Chemotherapy only",321644.780566408,59.7359878922041,"undiscounted","base_case"
"Blinatumomab and chemotherapy",298865.951818847,37.1219316740837,"discounted","blina_cost_low"
"Chemotherapy only",270416.712659239,36.0238787149217,"discounted","blina_cost_low"
"Blinatumomab and chemotherapy",311637.926304265,37.1219316740837,"discounted","blina_cost_high"
"Chemotherapy only",272739.643596896,36.0238787149217,"discounted","blina_cost_high"
"Blinatumomab and chemotherapy",305825.590229134,37.1219482446019,"discounted","ivig"
"Chemotherapy only",271670.263969471,36.0238787149217,"discounted","ivig"
