"Strategy","Costs ($)","QALYs","Incremental Costs ($)","Incremental QALYs","ICER ($/QALY)","Status","discount","scenario"
"Standard of Care","266,055",35.85,,,,"ND","discounted","base_case"
"Blinatumomab","302,287",37.05,"36,231",1.2,"30,160","ND","discounted","base_case"
"Standard of Care","314,790",59.44,,,,"ND","undiscounted","base_case"
"Blinatumomab","350,048",61.53,"35,257",2.09,"16,856","ND","undiscounted","base_case"
"Standard of Care","259,218",35.84,,,,"ND","discounted","blina_cost_low"
"Blinatumomab","292,916",37.04,"33,699",1.2,"28,065","ND","discounted","blina_cost_low"
"Standard of Care","259,218",35.84,,,,"ND","discounted","blina_cost_high"
"Blinatumomab","304,453",37.04,"45,235",1.2,"37,674","ND","discounted","blina_cost_high"
"Standard of Care","259,218",35.84,,,,"ND","discounted","ivig"
"Blinatumomab","299,217",37.04,"39,999",1.2,"33,312","ND","discounted","ivig"
