"time","surv_median","surv_mean","surv_lcl","surv_ucl","arm","outcome","n_sim"
0,1,1,1,1,"BSC","PFS",500
30,0.999033333333333,0.998450333333333,0.993798333333333,0.9999,"BSC","PFS",500
60,0.997433333333333,0.996715133333333,0.989449166666667,0.999435,"BSC","PFS",500
90,0.995216666666667,0.994554733333333,0.985439166666667,0.998584166666667,"BSC","PFS",500
120,0.993033333333333,0.9921184,0.9814825,0.997166666666667,"BSC","PFS",500
150,0.99045,0.989536866666667,0.978214166666667,0.995835,"BSC","PFS",500
180,0.987766666666667,0.986819,0.974,0.9941175,"BSC","PFS",500
210,0.985083333333333,0.983957133333333,0.969831666666667,0.992036666666667,"BSC","PFS",500
240,0.982016666666667,0.9808756,0.965349166666667,0.989884166666667,"BSC","PFS",500
270,0.978666666666667,0.977599933333333,0.961095,0.9875,"BSC","PFS",500
300,0.975466666666667,0.9742942,0.956965,0.984968333333333,"BSC","PFS",500
330,0.972483333333333,0.9710428,0.952414166666667,0.982633333333333,"BSC","PFS",500
360,0.969366666666667,0.9679052,0.94809,0.980420833333333,"BSC","PFS",500
390,0.966666666666667,0.964935733333333,0.944718333333333,0.978284166666667,"BSC","PFS",500
420,0.96345,0.962100466666667,0.941296666666667,0.976266666666667,"BSC","PFS",500
450,0.960666666666667,0.959373866666667,0.937440833333334,0.974368333333333,"BSC","PFS",500
480,0.9581,0.956735466666667,0.934293333333334,0.972350833333333,"BSC","PFS",500
510,0.95545,0.954222,0.930809166666667,0.970555833333334,"BSC","PFS",500
540,0.952883333333333,0.951762266666667,0.927810833333333,0.9686525,"BSC","PFS",500
570,0.95045,0.949397333333333,0.924900833333334,0.967101666666667,"BSC","PFS",500
600,0.948266666666666,0.947055666666667,0.922476666666667,0.965420833333333,"BSC","PFS",500
630,0.946066666666667,0.944754333333333,0.920369166666667,0.9635225,"BSC","PFS",500
660,0.9438,0.942518733333333,0.9176275,0.9617225,"BSC","PFS",500
690,0.941416666666667,0.940321266666667,0.9146725,0.960101666666667,"BSC","PFS",500
720,0.939283333333333,0.9381478,0.912565,0.958466666666667,"BSC","PFS",500
