"Strategy","meanCost","meanEffect","discount","scenario"
"Blinatumomab and chemotherapy",302375.312021724,37.0481802847884,"discounted","base_case"
"Chemotherapy only",266055.414608682,35.8468815394794,"discounted","base_case"
"Blinatumomab and chemotherapy",350133.807718322,61.5282328648244,"undiscounted","base_case"
"Chemotherapy only",314790.48485917,59.4365996733007,"undiscounted","base_case"
"Blinatumomab and chemotherapy",293004.335982008,37.0394080397523,"discounted","blina_cost_low"
"Chemotherapy only",259217.528904699,35.838690306295,"discounted","blina_cost_low"
"Blinatumomab and chemotherapy",304540.978003264,37.0394080397523,"discounted","blina_cost_high"
"Chemotherapy only",259217.528904699,35.838690306295,"discounted","blina_cost_high"
"Blinatumomab and chemotherapy",299300.431476627,37.0394251052998,"discounted","ivig"
"Chemotherapy only",259217.528904699,35.838690306295,"discounted","ivig"
