"","coef(model)"
"(Intercept)",334.328483153598
"age_Dx",-30.9479864168215
"sexM",21.2903767441029
"SES2",6.97380106558889
"SES3",0.999596413652371
"SES4",-6.33391719940124
"SES5",-22.1238452356724
"ruralY",-15.3629209441913
"distanceshort",-0.713404143583608
"dxyear2003",-56.0519725786611
"dxyear2004",18.7648823993718
"dxyear2005",-19.6756161367112
"dxyear2006",2.87547388311803
"dxyear2007",-10.8661778779058
"dxyear2008",19.4030023865451
"dxyear2009",-13.6886228609094
"dxyear2010",2.21636129029668
"dxyear2011",-28.4112551140612
"dxyear2012",-18.4882589023081
"lineageT",8.85924883809226
"protocolDFCI",-0.111545811567108
"cytogenetics_catFavorable",-39.628923920101
"cytogenetics_catNeutral",-45.1131904003614
"cytogenetics_catUnfavorable",-36.2703446665066
"wbc_cat>=50",-336.08731028372
