"","coef(model)"
"(Intercept)",-3.2149898413428
"age_Dx",0.123878970608142
"sexM",0.71526068988708
"SES2",-0.114571686585458
"SES3",-0.198098430801414
"SES4",-0.265326053957986
"SES5",-0.176716910991799
"ruralY",-1.37170775645781
"distanceshort",-0.215288671961147
"dxyear2003",-0.541756243865646
"dxyear2004",-1.58354992266812
"dxyear2005",-0.292173934165282
"dxyear2006",-0.182684381616559
"dxyear2007",0.106092508257027
"dxyear2008",0.225117259128398
"dxyear2009",0.410051484755447
"dxyear2010",-0.104813275730982
"dxyear2011",0.413119389497204
"dxyear2012",0.365055399099952
