"","coef(model)"
"(Intercept)",-0.400576851916938
"age_Dx",-0.0371898155463858
"sexM",0.0243037659388725
"SES2",-0.33943490891816
"SES3",0.466227405221113
"SES4",0.196405409907662
"SES5",0.267193975193909
"ruralY",-0.30523452802132
"distanceshort",0.86801464858447
"dxyear2003",0.105100338267937
"dxyear2004",-0.517647894593084
"dxyear2005",-1.01080379536974
"dxyear2006",-1.71156593430062
"dxyear2007",-2.29593139278462
"dxyear2008",-2.65836244453227
"dxyear2009",-2.25190480578999
"dxyear2010",-1.91546146108812
"dxyear2011",-1.7638035662495
"dxyear2012",-1.87795758488018
"lineageT",-0.513133557649979
