"","coef(model)"
"(Intercept)",0.781447271123581
"age_Dx",-0.0743642608300243
"sexM",0.0138301502030439
"SES2",-0.135227447459771
"SES3",0.136501445935279
"SES4",0.119423650896788
"SES5",0.099144878253629
"ruralY",-0.528588977492588
"distanceshort",0.32505875019043
"dxyear2003",0.623828251715114
"dxyear2004",0.603544853817377
"dxyear2005",-0.688889601919143
"dxyear2006",-0.0179649824284371
"dxyear2007",-0.778313394421752
"dxyear2008",-0.321925096482649
"dxyear2009",-0.824242866644696
"dxyear2010",-0.342935926519257
"dxyear2011",-0.105683612725307
"dxyear2012",0.471755870137403
"lineageT",1.81412536166293
"protocolDFCI",-0.712128338988664
"cytogenetics_catFavorable",-2.66793101825249
"cytogenetics_catNeutral",-1.66788423486078
"cytogenetics_catUnfavorable",-0.875714083394061
