"","2:(Intercept)","2:age_Dx","2:sexM","3:(Intercept)","3:age_Dx","3:sexM","4:(Intercept)","4:age_Dx","4:sexM","5:(Intercept)","5:age_Dx","5:sexM"
"2:(Intercept)",0.0535371225807051,-0.00380608622854197,-0.0323773917952888,0.0298986999537599,-0.00197282155721023,-0.0189257329707688,0.0298933515579054,-0.00197542034885703,-0.018883397803001,0.0299430318227585,-0.00197644946071134,-0.0189705385243041
"2:age_Dx",-0.00380608622854193,0.000722865216001356,-0.000212595944261814,-0.00196276996071803,0.000376350900324816,-0.000130944359702382,-0.00196169405600564,0.000376866595094595,-0.000139373732497487,-0.00197160978977794,0.000377075438153684,-0.000122023376590863
"2:sexM",-0.0323773917952891,-0.000212595944261764,0.055391463849115,-0.0190306631728453,-0.000111454855823607,0.0298588764081023,-0.0190315078035698,-0.000111801046254704,0.0298647744772017,-0.0190243702545996,-0.000111980067797386,0.0298526367163465
"3:(Intercept)",0.02989869995376,-0.00196276996071808,-0.0190306631728449,0.051097618111301,-0.00354873832416122,-0.030250349196317,0.0299382507653862,-0.00197734189810684,-0.0189417196435288,0.0299315138807014,-0.00197183055712576,-0.018995693012948
"3:age_Dx",-0.00197282155721017,0.000376350900324816,-0.000111454855823686,-0.00354873832416117,0.000642568256238965,-0.000217003472397948,-0.00197459543923163,0.000379767484083586,-0.000146661208684031,-0.00198045944553531,0.00037897677500882,-0.000125204247847442
"3:sexM",-0.0189257329707692,-0.000130944359702336,0.0298588764081024,-0.0302503491963174,-0.000217003472397893,0.0526546266458803,-0.0189758050082367,-0.000139703263959905,0.0300536726938423,-0.0189065678344706,-0.000141323461338619,0.0299345110597866
"4:(Intercept)",0.0298933515579055,-0.0019616940560057,-0.0190315078035693,0.0299382507653865,-0.0019745954392317,-0.0189758050082365,0.0518662885665837,-0.00360037697301834,-0.0302126528155152,0.0299342097365804,-0.00197182286974556,-0.0190004729555069
"4:age_Dx",-0.00197542034885698,0.000376866595094596,-0.000111801046254778,-0.00197734189810683,0.000379767484083589,-0.000139703263959941,-0.00360037697301829,0.000640055642329214,-0.000232116550099714,-0.00198492976532368,0.00037998335983825,-0.000127265330471603
"4:sexM",-0.0188833978030013,-0.000139373732497435,0.0298647744772016,-0.0189417196435291,-0.000146661208683972,0.0300536726938422,-0.0302126528155155,-0.000232116550099654,0.0535518161334979,-0.0188570125570039,-0.00015368426512681,0.0299691401167084
"5:(Intercept)",0.0299430318227585,-0.00197160978977798,-0.0190243702545992,0.0299315138807015,-0.00198045944553536,-0.0189065678344702,0.0299342097365804,-0.00198492976532371,-0.0188570125570037,0.0551324506941428,-0.00397598188949482,-0.0322502695855889
"5:age_Dx",-0.0019764494607113,0.000377075438153684,-0.00011198006779744,-0.00197183055712573,0.000378976775008821,-0.000141323461338669,-0.00197182286974554,0.00037998335983825,-0.000153684265126828,-0.00397598188949479,0.000732168798994125,-0.000233943411048567
"5:sexM",-0.0189705385243043,-0.000122023376590822,0.0298526367163465,-0.0189956930129484,-0.000125204247847385,0.0299345110597867,-0.0190004729555071,-0.000127265330471563,0.0299691401167083,-0.0322502695855891,-0.000233943411048537,0.0581044241208992
