"","CNS2:(Intercept)","CNS2:age_Dx","CNS2:sexM","CNS2:SES2","CNS2:SES3","CNS2:SES4","CNS2:SES5","CNS2:ruralY","CNS2:distanceshort","CNS2:dxyear2003","CNS2:dxyear2004","CNS2:dxyear2005","CNS2:dxyear2006","CNS2:dxyear2007","CNS2:dxyear2008","CNS2:dxyear2009","CNS2:dxyear2010","CNS2:dxyear2011","CNS2:dxyear2012","CNS2:lineageT","CNS2:protocolDFCI","CNS2:cytogenetics_catFavorable","CNS2:cytogenetics_catNeutral","CNS2:cytogenetics_catUnfavorable","CNS2:wbc_cat>=50","CNS2:leukemia_risk_groupstandard","CNS3:(Intercept)","CNS3:age_Dx","CNS3:sexM","CNS3:SES2","CNS3:SES3","CNS3:SES4","CNS3:SES5","CNS3:ruralY","CNS3:distanceshort","CNS3:dxyear2003","CNS3:dxyear2004","CNS3:dxyear2005","CNS3:dxyear2006","CNS3:dxyear2007","CNS3:dxyear2008","CNS3:dxyear2009","CNS3:dxyear2010","CNS3:dxyear2011","CNS3:dxyear2012","CNS3:lineageT","CNS3:protocolDFCI","CNS3:cytogenetics_catFavorable","CNS3:cytogenetics_catNeutral","CNS3:cytogenetics_catUnfavorable","CNS3:wbc_cat>=50","CNS3:leukemia_risk_groupstandard"
"CNS2:(Intercept)",2.93961584833621,-0.0237642602031564,-0.039973526631327,-0.060233114042517,-0.0475220372806913,-0.0604255057493643,-0.0798459836903097,-0.139765707670682,-0.125821379263083,0.0000190117105371453,-1.15538027563728,-1.14774156647092,-1.14650650535746,-1.14078401242625,-1.18390721866009,-1.18636398744403,-1.15964608560533,-1.17856155111509,-1.14748207605419,0.0452993554167342,-0.0616393796392561,-1.21795167225617,-1.19152628696459,-1.17637633021883,-0.324724932572381,-0.306135634801219,0.330353438931767,-0.00531436685400691,-0.00850324999495491,-0.00819541009107987,-0.00855155362757261,-0.00555987296466488,-0.0145193483756,-0.0145752183803353,-0.0143663216259185,0.000000516658520558572,-0.116717663155474,-0.116909844629081,-0.120401297802389,-0.11613634163138,-0.121410910313765,-0.126253805385129,-0.119481779979057,-0.123669210891759,-0.118716205198439,0.0133678720542304,-0.00531888229205829,-0.110933384687764,-0.10767573330413,-0.101433257398793,-0.0615529035802524,-0.0579102094364028
"CNS2:age_Dx",-0.023764260203163,0.00160410013041093,-0.000513180599709944,-0.00038147982909515,-0.000571308735037727,-0.000625745801069445,-0.00009070552891182,-0.000539193971394197,0.000574178694320323,-0.0000000392078112378722,-0.000452425659656186,-0.000175731997380663,0.0000718961700394125,-0.000368134633451966,0.00113679681798983,0.000955142073016471,0.000994870852214235,0.0012829326218766,-0.000145078349179434,-0.00314831262637302,0.00147571800188299,0.00321288587813765,0.00205237087563313,0.00123627341295364,0.0128461885207722,0.0147717230669753,-0.00536981439013161,0.00034954596320943,-0.0000729921569728937,-0.000211712726347403,-0.000119088035507204,-0.000536643170809295,-0.0000543224991468607,-0.00000365132266730463,0.0000576107938029552,-0.00000000171607782309668,0.0000142923555985464,0.0000335648270839966,0.000129315017653669,-0.0000126181504042882,0.000198733858756104,0.000232443202220008,0.000202539961217944,0.000237441676472424,-0.00001100596750083,-0.000585956614714284,0.000311968713821515,0.000921537647674637,0.000608489821664458,0.000433352320148984,0.00276585837481823,0.00326222392536008
"CNS2:sexM",-0.0399735266312965,-0.000513180599710339,0.0639839895339274,0.00357110434420978,0.00521905130935701,0.00514876891610001,0.00615873385831514,-0.000747753327792504,-0.00132730711548877,-0.0000000885141254574634,-0.0021515539349755,0.0045896518407767,0.000896819493427244,0.00144647407464393,0.00486532756196239,0.00271231201406107,0.00545977970353999,0.00390949120319822,0.000868852874881518,-0.00966062374793515,0.000322422299328148,0.00451698047350652,0.00596276456378801,0.00566142275409861,-0.00395044430431553,-0.00704832804844055,-0.00628612429195707,-0.0000974414036119361,0.0107530119996885,0.00229614964583138,0.0019162608134244,0.00264724532682717,0.00208899807647845,-0.000151377960229631,-0.000458605377176133,-0.00000000167437068459891,-0.00150074033787949,-0.000348914150881442,-0.000242974505123805,-0.000372401823766868,-0.0000564623587379722,-0.000615327057004501,0.000206033199180445,0.000283876703100428,0.000456448597672646,-0.00250698723188784,-0.000343740808915093,0.000321191809497083,0.0010939153232843,0.00055457880660624,-0.000329709689929591,-0.00099224765212187
"CNS2:SES2",-0.0602331140424919,-0.000381479829095484,0.00357110434420997,0.167218972240177,0.0762408796178833,0.0761238451236202,0.0753874101308437,0.00731567040881472,0.000162560325659659,-0.000000217686485080309,0.00914147072697978,-0.000370180819845154,0.0164021472398874,0.0178903897752293,0.0148403145777264,0.0038980746266209,0.0096820613117369,0.00517840340931689,0.0115173885262215,0.00303680501425241,0.00797175674892141,-0.0234549081909117,-0.022999819160251,-0.016019403265024,-0.00387533710882577,-0.0071057114019253,-0.0116263681228895,-0.0002491434285992,0.00285452925790097,0.0303800251436989,0.0151157214061265,0.0151366945476596,0.0147962134647546,0.000925606991130277,0.000527764146602828,-0.00000000850697187238953,0.00171729138301907,-0.000551012136239211,0.00235098051629223,0.0022426877990465,0.00274167987902389,0.000777003290168342,0.00211086725142768,0.000198923427901119,0.00195318597945417,0.000605244922103374,0.000755029798787459,-0.00524843615289943,-0.0043180477919009,-0.00271128528798605,-0.00092050166900382,-0.00233225451416977
"CNS2:SES3",-0.0475220372806731,-0.000571308735037973,0.00521905130935718,0.0762408796178834,0.150403545387044,0.0768903778927334,0.076232618670471,-0.00191982781182235,-0.00512008572969764,-0.000000109350463572464,0.00730663877279993,-0.00432142956333637,0.00795843435934293,0.00868414866277163,0.00312080692525563,0.00011313394972827,-0.00389828764864614,0.00373932213933223,-0.00059476730339483,0.00754660297320118,-0.0047941904839817,-0.025535947436127,-0.0290714962428546,-0.0224419153380663,-0.0014942448936447,0.00077110511789516,-0.0105151594943097,-0.0000951187632449632,0.00231899858664525,0.0150008253766337,0.0266499100136639,0.0155307618204521,0.0152446251505084,0.000547140213418699,-0.00083346773123048,-0.00000000586737361095614,0.00174749219564837,0.000600930318270312,0.00266727134431341,0.000753731822138807,0.00183222740989967,0.000108530501016512,-0.000372215233761956,0.000500117687313717,-0.00065689847268596,0.00164059400281888,-0.00156208836157082,-0.00570625707605646,-0.0062073630591868,-0.00515377804375322,0.0000170837717872167,0.000775997017460247
"CNS2:SES4",-0.0604255057493424,-0.000625745801069755,0.00514876891610033,0.0761238451236203,0.0768903778927334,0.134248664013416,0.0769043456425073,0.0105225364225786,-0.000616681242383129,-0.000000124812527194177,0.0110969706642391,0.00220922814549254,0.00639533189170685,0.00917839185092362,-0.000392818633971429,-0.0043623266486683,-0.00367062747798165,-0.00191867760628046,0.00397144381190523,0.00567728692093465,0.000699587511201528,-0.0178128201326204,-0.0192946336176099,-0.0219575517701909,-0.00144731426994379,0.00201735847936377,-0.0062000978897946,-0.000243442255445042,0.00187252437347269,0.0151633113450314,0.0153408569711518,0.0290814876607351,0.0154710349465012,0.00196951061285103,-0.000966551718096226,-0.00000000232652239018738,0.00113166798843916,-0.000592595252422856,0.000877393707021524,0.000151614303675194,-0.000480057799674873,-0.00391549461937218,-0.00202034859260305,-0.00146326737704708,-0.000589326467522357,0.00118775664930842,0.000293408605724351,-0.00547570296343277,-0.00619180438853491,-0.00697177323750318,-0.00252333951258369,-0.000723718154217113
"CNS2:SES5",-0.0798459836902913,-0.0000907055289121521,0.00615873385831557,0.0753874101308439,0.0762326186704711,0.0769043456425074,0.174026792917196,0.00580666167976314,-0.00240948285085761,-0.000000182346389411603,0.00954145410004522,0.00804795491096664,0.0115218222278906,0.00862745004159886,0.00310875025667457,-0.000198442896037595,-0.00302649756653135,0.00146867778650225,0.00522304137966085,0.00230110321524872,-0.000804373347270705,0.00179243601226831,-0.00206472362884263,-0.000181163615370469,-0.00522913895539262,-0.000293148884537067,-0.011296648502585,-0.0000268820089093835,0.00191685415590795,0.0150069187759799,0.0152781319864969,0.0154115498710945,0.0321629255379577,0.00139776359860382,-0.00120017998628386,-0.0000000052608017591544,0.00150112563144393,0.000619565383422795,0.00210688216592794,0.00053980754902915,0.00107783031785187,-0.00267856881863384,-0.00184452061433712,-0.000918015621990945,-0.000126765949445616,0.000662525647623049,0.000246262157300867,-0.00259375997883307,-0.00391765817322091,-0.00418963236502825,-0.0017764914724391,0.000331418652788141
"CNS2:ruralY",-0.139765707670665,-0.000539193971394655,-0.000747753327791414,0.0073156704088155,-0.00191982781182196,0.0105225364225792,0.00580666167976332,0.234128085835977,0.0462073272162857,-0.00000078600906703035,0.0404908280937884,0.0531220351727041,0.0424555389655005,0.053886970828927,0.0418330995046289,0.0392950264628077,0.0468565845520889,0.0387920933507287,0.04777401085124,0.018385492236062,0.00818033294110363,0.0377022487011701,0.0359373436404255,0.0228579650683807,0.00375240131176972,-0.00273303766970554,-0.013677604353308,-0.0000513149037075792,-0.000407536995870452,0.00137991704302255,0.000330077014439756,0.00207788936924178,0.00174516516360003,0.0318117235072866,0.00559961300736358,-0.0000000207818932544538,0.00458808571813683,0.00528193962268407,0.00412224158155003,0.00569404540634069,0.00349293496639991,0.00307714982977055,0.00436072915806848,0.00300585856786761,0.00476126572257999,0.0035451370941045,0.00118189133264686,0.00240296100677151,0.00185055181522023,-0.00148194026394007,-0.000470232061509122,-0.0003494728725047
"CNS2:distanceshort",-0.1258213792631,0.000574178694320194,-0.00132730711548712,0.00016256032566113,-0.00512008572969662,-0.000616681242381901,-0.00240948285085649,0.0462073272162872,0.115031701225785,-0.000000208794092149737,0.00615392887318966,0.00219201769717055,-0.00114054693121726,-0.00283863153689182,0.000109446827599966,0.0057294943750791,0.00141383980236432,-0.00026155377383624,0.00628831361943525,0.00671707569022556,-0.00577584061904919,0.0192191488259692,0.0194355776699713,0.0170266452822829,0.00470763191229895,0.00702576008360478,-0.0161279941590963,0.0000628373734164735,-0.000208711651998117,-0.000325825304816001,-0.00154574384912391,-0.0000477742074607474,-0.000756407170786786,0.0061320144485132,0.0154002925034609,-0.00000000567183771191382,0.000521689343501186,0.000189884489326192,-0.000798913462615297,-0.000725161711688571,-0.000740969603792564,0.00119616055318012,-0.000538383489279194,-0.000356398245709322,0.00132845101964281,0.000877525780017191,-0.00191045148228822,0.00285825903402692,0.00370027040303788,0.00320790174098825,0.00136599047909039,0.000963961451522912
"CNS2:dxyear2003",0.0000190117105471842,-0.000000039207811241625,-0.0000000885141255159871,-0.000000217686485134494,-0.000000109350463537149,-0.000000124812527242828,-0.000000182346389478813,-0.000000786009067460432,-0.000000208794092261851,0.000000000238350101531794,-0.0000166864210017883,-0.000016230381451181,-0.0000162763903908305,-0.0000162472525017316,-0.000016272136654657,-0.0000162145029191505,-0.0000161942031049156,-0.0000162218456335567,-0.0000161564131089105,-0.000000137319821983663,-0.000000585523029146307,-0.00000198332527801958,-0.00000181353473786202,-0.00000181650499187448,-0.000000518894386072272,-0.000000437798982373825,0.00000436904031908728,-0.0000000179783970275292,0.00000000745252392468449,-0.000000112653913811078,-0.0000000484213808772229,-0.00000001638385064091,-0.0000000592665022338396,-0.000000195829597595518,-0.0000000412331177369841,0.0000000000106135802324957,-0.00000370677328606338,-0.00000373628996200476,-0.00000367055627490108,-0.00000365584614611742,-0.00000370618902971062,-0.00000364518811430056,-0.0000036510941562759,-0.0000036601758262396,-0.00000362181678028861,-0.0000000755272137425793,-0.000000253540260505114,-0.000000380999436535341,-0.00000034490777542416,-0.000000388636984140721,-0.000000224085145099784,-0.000000226897837961795
