"","Favorable:(Intercept)","Favorable:age_Dx","Favorable:sexM","Favorable:SES2","Favorable:SES3","Favorable:SES4","Favorable:SES5","Favorable:ruralY","Favorable:distanceshort","Favorable:dxyear2003","Favorable:dxyear2004","Favorable:dxyear2005","Favorable:dxyear2006","Favorable:dxyear2007","Favorable:dxyear2008","Favorable:dxyear2009","Favorable:dxyear2010","Favorable:dxyear2011","Favorable:dxyear2012","Favorable:lineageT","Favorable:protocolDFCI","Neutral:(Intercept)","Neutral:age_Dx","Neutral:sexM","Neutral:SES2","Neutral:SES3","Neutral:SES4","Neutral:SES5","Neutral:ruralY","Neutral:distanceshort","Neutral:dxyear2003","Neutral:dxyear2004","Neutral:dxyear2005","Neutral:dxyear2006","Neutral:dxyear2007","Neutral:dxyear2008","Neutral:dxyear2009","Neutral:dxyear2010","Neutral:dxyear2011","Neutral:dxyear2012","Neutral:lineageT","Neutral:protocolDFCI","Unfavorable:(Intercept)","Unfavorable:age_Dx","Unfavorable:sexM","Unfavorable:SES2","Unfavorable:SES3","Unfavorable:SES4","Unfavorable:SES5","Unfavorable:ruralY","Unfavorable:distanceshort","Unfavorable:dxyear2003","Unfavorable:dxyear2004","Unfavorable:dxyear2005","Unfavorable:dxyear2006","Unfavorable:dxyear2007","Unfavorable:dxyear2008","Unfavorable:dxyear2009","Unfavorable:dxyear2010","Unfavorable:dxyear2011","Unfavorable:dxyear2012","Unfavorable:lineageT","Unfavorable:protocolDFCI"
"Favorable:(Intercept)",0.880268929122812,-0.0222395035103833,-0.114297130461985,-0.16993362787297,-0.137144825573442,-0.143872973669968,-0.173804486802813,-0.266741051993788,-0.374938491409865,-0.198073871755253,-0.115629690533894,-0.200832423608608,-0.117582979114003,-0.202387635862645,-0.140147679816916,-0.212430740400213,-0.0468153117032304,-0.0836114998251623,-0.093814446148803,-0.00187795891592858,-0.00983031081641212,0.681215959603646,-0.0212325531696009,-0.104453601781321,-0.15681115459652,-0.123508193762921,-0.131228550002141,-0.158051923572275,-0.251325488930087,-0.361161663929952,-0.0377926730390796,0.0484160144136543,-0.0388516687275818,0.0486145785718317,-0.0388924308654645,0.0277509916401876,-0.0479610885883919,0.117114903677209,0.0820988844506244,0.071201036984263,0.00153859430937019,-0.00135630027887552,0.386285166062455,-0.0207398564416923,-0.10216608203072,-0.151907573929987,-0.116714237124694,-0.129470196754817,-0.147666360774204,-0.244943185481225,-0.355828814438771,0.235866544790675,0.364098017781137,0.239684092336102,0.337661243958499,0.24128006672819,0.312020448627583,0.237792090867419,0.400747950942129,0.403222631182586,0.355021980154768,0.000339364610800819,0.0111866110950515
"Favorable:age_Dx",-0.0222395035103481,0.00286330398074797,-0.00228543991862387,-0.00593301872127561,-0.00592263317010286,-0.00891734373891792,-0.00395581635983444,0.0000476486733020023,0.00530240643185755,0.0000848432069772945,-0.00887949924980138,0.0000677562943988859,-0.00263216306375074,0.0000583221652902672,-0.000527343830795542,0.00386775864984963,-0.00444039342940609,-0.00196904419975765,-0.00475110172595647,-0.000250124398927304,-0.00000555914758865766,-0.0212774665985539,0.00267439152588904,-0.00222113632039573,-0.00555086483419167,-0.0054580105632718,-0.00842551435716583,-0.00363979663903772,-0.00000801577178326971,0.00523115595493355,-0.0000699089804602241,-0.00922237781633254,-0.0000643791462447484,-0.00299911595594282,-0.0000450793358107286,-0.0010458975551876,0.0032404995194641,-0.00480937045375195,-0.0025409998253138,-0.00508135774554704,0.0000863556779368121,-0.00000761131579330358,-0.0212986208889018,0.00265950434547329,-0.00222947401724965,-0.00550214844296338,-0.00528591382269956,-0.0082630628599988,-0.00351308749697227,-0.0000102521372836195,0.00529842043226927,-0.0000149342264627446,-0.00935176708378448,-0.00000337714815276237,-0.00304184360051589,-0.0000132428294811482,-0.00111020216421715,0.00307510677473076,-0.00479755431119974,-0.00263516918696869,-0.00516377757034216,0.000163768721104939,0.0000131704633811628
"Favorable:sexM",-0.114297130462204,-0.00228543991861518,0.302859776197242,0.0338327075132895,0.0558877592346228,0.0516313735364848,0.0543505829028354,-0.0195511865230291,-0.071477427417859,0.00131505970319511,-0.027469752520713,0.000595265546091055,-0.0191514320194847,0.000573100322090748,-0.00809479758972985,-0.00757554284991831,-0.00767405938284798,-0.0217698674178626,-0.0112568102005725,-0.00183391422056914,0.000119275430570363,-0.10543816553244,-0.0021613416371713,0.290355030521243,0.031928989562715,0.0533950571655993,0.0488936540350519,0.0521476479825602,-0.0209841508960661,-0.0713468200240861,-0.000254651654611399,-0.027939869447025,-0.000320070660187422,-0.0199010451445927,-0.000309209794936496,-0.00919290852763588,-0.00722135522823964,-0.00874205176613876,-0.0225417644464274,-0.0119894104476966,0.000546161455585826,-0.000325883878451799,-0.103237026100555,-0.00228622371507897,0.288575796812745,0.0314269723615017,0.0531434181148407,0.0491085211294968,0.0510978818045162,-0.0198387812276402,-0.0712054486274545,-0.00106040804889344,-0.0285545947265282,-0.000275194885877626,-0.0206031220888542,-0.000263890527174671,-0.00985468974537382,-0.00824607233998311,-0.0090150418824674,-0.0241041834997571,-0.0120736519956243,0.00128775276346831,0.000206608447889519
"Favorable:SES2",-0.169933627873108,-0.00593301872126568,0.0338327075132656,0.782224344347464,0.21177258647391,0.250565717233592,0.232996004063909,0.114635695048266,0.00931903361321151,-0.00380882859700791,0.0283104686343277,-0.00239467837187412,-0.000357445505829163,-0.000579783978822883,-0.03878459152602,-0.104871460955933,-0.015432212029828,-0.0697354443300086,0.028007201704589,0.0000942479320661876,0.00113321328919998,-0.15510702530846,-0.00571342943720976,0.0323287806968761,0.750642311573476,0.195360969205039,0.234158167963139,0.21715518840066,0.114759812300587,0.00850772130199958,0.00171612718977472,0.0294700427067202,0.00155248291315217,0.000382514143634072,0.000338018509893416,-0.0386422555641697,-0.100867415828926,-0.0133381757055154,-0.065240823674751,0.0303513348037935,0.000130305322582533,-0.00041032681364054,-0.153732753176244,-0.00560121742742701,0.0313489417528475,0.746564902732012,0.192917540255332,0.231710694507832,0.214690587835586,0.115099359305299,0.00823411267947755,0.00209270140964965,0.0317602587885281,0.000842195458768025,0.000983173057613579,0.000241765468887057,-0.0385609250787025,-0.0974939934497173,-0.012902573383259,-0.0631085684261963,0.0312964630052776,-0.000224553261979634,-0.000722886475497528
"Favorable:SES3",-0.13714482557356,-0.00592263317009531,0.0558877592346101,0.211772586473901,0.753186785055447,0.226338197096581,0.216326898008417,0.0151356211251712,-0.0336546714664567,0.00232717706012111,0.0310337364251866,-0.000349603208236964,0.0289218036000377,0.00032407111781788,-0.0120504835103402,-0.0568473134952238,-0.0381491001006208,-0.0577467103476126,-0.0221968185746243,0.000349785075803723,-0.000630798544037443,-0.120904184944716,-0.00572640988301361,0.0537571714979901,0.19512269671022,0.721985917172149,0.209252957700988,0.19981587668525,0.0146415987127288,-0.0328503928240329,-0.00106617508035661,0.0294065768228697,0.000265960039832713,0.0275865510608967,0.000109521811770974,-0.0127596495930994,-0.0552862773765088,-0.0370810622467432,-0.0583514649271574,-0.0206712649624844,0.000144585394587588,0.000595745280370826,-0.119152473549076,-0.00553443559278546,0.0527821905343268,0.192690271685421,0.718300514334241,0.206605604175832,0.196909944592328,0.0157944014699317,-0.0334838897342027,-0.00126100197864153,0.0300178413975096,0.0000836431684869371,0.0276626023397988,-0.000433592929622916,-0.0130536133488693,-0.0532738464668303,-0.0371174427435915,-0.0573151841692513,-0.0199327935198786,-0.000494370476935945,0.0000350532637751193
"Favorable:SES4",-0.143872973670153,-0.00891734373890874,0.0516313735364925,0.250565717233611,0.226338197096599,0.810674963149078,0.247742193598245,0.115469942264106,-0.0230480757927946,-0.00169553192048383,0.061500267617245,-0.000463257929279528,0.0305351833784163,-0.000853514972383455,-0.0349073383650642,-0.117610349085164,-0.0653081094436697,-0.0588934771138512,0.0422438814852811,0.000156926785294506,-0.000426842244239629,-0.128767350694788,-0.00871444498949154,0.0491070207633273,0.233992470109911,0.209340827843628,0.778053714386434,0.23141764945749,0.11521214247875,-0.0228186068974325,0.000711983039433674,0.061699720663252,0.00036501224564773,0.0316114368734496,0.000276209829924027,-0.0329466227824149,-0.113864818326639,-0.0622275453061979,-0.0571411545006468,0.0448074693642067,-0.0000873125852852627,-0.0000337146954036088,-0.126151769837794,-0.00870753675077479,0.0491964828005527,0.232107431012209,0.207075299846135,0.774779711141044,0.229177111256885,0.116304977965052,-0.0239394543742097,0.000983548883142282,0.0627361534370116,0.0000982456836615864,0.0310709831023954,0.000577305142424932,-0.0333460068315092,-0.113896085666451,-0.0619534249624078,-0.0580622205335037,0.0451592228515871,-0.000069614208065012,0.000460556939747521
"Favorable:SES5",-0.173804486802976,-0.00395581635982428,0.0543505829028195,0.232996004063915,0.216326898008423,0.247742193598234,0.53465111168281,0.0744321496821864,-0.0179283518130963,0.000441726422876665,0.0738330759781261,0.00168134427357417,0.019630374687224,0.00153414418210957,-0.068650865388692,-0.0913219522102207,-0.0345356188087184,-0.0858395316896872,0.0290069575618159,-0.000509564429751448,-0.000322961646160118,-0.155962559921563,-0.00383067463063917,0.0522286972780028,0.217048307209601,0.199990071074864,0.231398955252019,0.500645558754851,0.0746131292213798,-0.0178441515387578,-0.000514675147042644,0.0736829127545238,-0.000560583539728957,0.0169537507249473,-0.000731179527964525,-0.0716010407080438,-0.0909062344976175,-0.0338256715123009,-0.0876221429666377,0.0273620620896458,0.000521076155873908,0.000412533004497769,-0.154795368528299,-0.00367545892317195,0.0512617248779601,0.214803581578394,0.197429017402217,0.228802287410126,0.496250229064637,0.0756912612876044,-0.0177043549856227,0.0000729487271619628,0.0737710557454928,-0.00112076073381125,0.017076590297894,-0.000802964654174878,-0.0715255360837631,-0.0881984001424921,-0.0335250059761344,-0.0865132078969731,0.0281841037122999,-0.0000115117326565857,-0.0000895713582458033
"Favorable:ruralY",-0.26674105199382,0.00004764867331353,-0.0195511865230775,0.114635695048232,0.0151356211251439,0.115469942264066,0.0744321496821464,0.631022625334224,0.218188765124254,-0.000799305184147811,0.0249355354606925,0.00252770609177687,-0.0141592598113566,0.0028780962290254,-0.0513107297303741,-0.057724129905916,-0.0197444453303851,-0.086185893982584,-0.0428224596117961,0.00239711126973624,0.000473969862969569,-0.253818532730876,0.0000970836598825319,-0.0209191594609331,0.114892994302501,0.0156858395231563,0.115142667211734,0.0751515322378618,0.593923493415827,0.209094696341425,0.000790028311246912,0.0244657683480158,-0.000229498401016793,-0.0132838079217597,-0.000418722607312927,-0.0510111136729397,-0.0591194060941181,-0.0223141577510079,-0.0878618023266819,-0.0456877029591326,-0.00112807223368696,-0.00033455995283725,-0.251895707174271,0.0000283194449600541,-0.0198135873899898,0.115988091878378,0.0167201841192646,0.116295546933607,0.076378685909689,0.591084206913293,0.20846466424769,0.00000927687571961614,0.023795058559624,-0.0022982076907203,-0.0153489769364927,-0.00245937362175973,-0.0526152228018321,-0.0630101191396071,-0.023697597544126,-0.0916218210655861,-0.0481339748145232,-0.00126903904030696,-0.000139409910090908
"Favorable:distanceshort",-0.374938491409741,0.00530240643186983,-0.071477427417945,0.00931903361314049,-0.0336546714665098,-0.0230480757928617,-0.0179283518131722,0.218188765124206,0.509422770678533,-0.000706960764334384,-0.0208548544550366,-0.000664701023148337,-0.085232061207308,-0.00167208361814672,-0.0628068953110798,0.0162778245811624,-0.0401194434462544,-0.0860102584968308,-0.0920652043425918,0.000618648883486262,-0.00158391379074698,-0.361972707046743,0.00532234003016061,-0.0716460944682351,0.00888164673606846,-0.0324161798266923,-0.022228112183996,-0.017287571881628,0.208829938046141,0.489855571277653,0.000713629550448716,-0.0201445916942246,0.000629083755922001,-0.0832427615338006,0.00104562532259151,-0.060004078250063,0.0190282076652777,-0.038112835409232,-0.0847237436925544,-0.091199196677167,-0.000268524208518455,0.000511995568016344,-0.359559534919545,0.00531811752507066,-0.0710345301369174,0.00875056112955173,-0.0327263650842066,-0.0227665495636467,-0.0170564235342573,0.20831386260375,0.487652559324575,-0.00000666878330873259,-0.0229604656451237,0.0000356172672828772,-0.0842645839610567,0.000626458295507852,-0.0608444372107835,0.0180552262874593,-0.038258928339944,-0.08621681275679,-0.0927723781347634,-0.000350124675481249,0.00107191822276066
"Favorable:dxyear2003",-0.198073871755385,0.0000848432069883144,0.00131505970313862,-0.00380882859699962,0.00232717706011777,-0.00169553192049642,0.000441726422871216,-0.000799305184111127,-0.000706960764246069,0.367438422650867,0.19817760605319,0.198607709301658,0.198074832701929,0.197588592856079,0.197956819562715,0.198419069031062,0.19806695840147,0.198784691574208,0.198070373712847,0.00285748821889786,-0.00377329273209401,-0.0381352234696074,-0.0000558028313504353,-0.000657199284803527,0.0033748619011609,-0.00121943972026701,0.000556525191622875,-0.000508091448698444,0.00044969820927229,0.000979586030813395,0.0173952381158917,0.037362491504144,0.0371700645577689,0.0372431950710932,0.0373971596244485,0.0377996703418091,0.0375016510094138,0.0376599330540747,0.0373612684177373,0.0378875184452269,-0.00154866731481448,-0.0015677618988452,0.234823306679988,0.0000650973634948365,-0.004831753116184,0.0127998572000163,-0.00728180359715852,0.00657377653515041,0.00166516369913197,0.00402321234998544,-0.000369524101445607,-0.384833660766857,-0.236809647587914,-0.235777773859433,-0.235681724789977,-0.234985752480522,-0.236131421133187,-0.236766348159345,-0.235814782698937,-0.236168613595755,-0.234374556042238,-0.00130882090413898,0.00534105463110006
