"","2003:(Intercept)","2003:age_Dx","2003:sexM","2003:SES2","2003:SES3","2003:SES4","2003:SES5","2003:ruralY","2003:distanceshort","2004:(Intercept)","2004:age_Dx","2004:sexM","2004:SES2","2004:SES3","2004:SES4","2004:SES5","2004:ruralY","2004:distanceshort","2005:(Intercept)","2005:age_Dx","2005:sexM","2005:SES2","2005:SES3","2005:SES4","2005:SES5","2005:ruralY","2005:distanceshort","2006:(Intercept)","2006:age_Dx","2006:sexM","2006:SES2","2006:SES3","2006:SES4","2006:SES5","2006:ruralY","2006:distanceshort","2007:(Intercept)","2007:age_Dx","2007:sexM","2007:SES2","2007:SES3","2007:SES4","2007:SES5","2007:ruralY","2007:distanceshort","2008:(Intercept)","2008:age_Dx","2008:sexM","2008:SES2","2008:SES3","2008:SES4","2008:SES5","2008:ruralY","2008:distanceshort","2009:(Intercept)","2009:age_Dx","2009:sexM","2009:SES2","2009:SES3","2009:SES4","2009:SES5","2009:ruralY","2009:distanceshort","2010:(Intercept)","2010:age_Dx","2010:sexM","2010:SES2","2010:SES3","2010:SES4","2010:SES5","2010:ruralY","2010:distanceshort","2011:(Intercept)","2011:age_Dx","2011:sexM","2011:SES2","2011:SES3","2011:SES4","2011:SES5","2011:ruralY","2011:distanceshort","2012:(Intercept)","2012:age_Dx","2012:sexM","2012:SES2","2012:SES3","2012:SES4","2012:SES5","2012:ruralY","2012:distanceshort"
"2003:(Intercept)",1.5260988411514,-0.0313296225853741,-0.268868247114641,-0.768055182980308,-0.696291088861333,-0.70584746072768,-0.742283241668177,-0.392079969880538,-0.514248728508969,0.559662787205172,-0.01199672223995,-0.109889520411513,-0.223855191640425,-0.20112056635258,-0.203054988875765,-0.214908295396605,-0.172772180405622,-0.250656130146789,0.559281958361665,-0.0120039537864306,-0.109741001734263,-0.223321617527925,-0.200916094211313,-0.202474410951935,-0.214454167712865,-0.173075718456349,-0.25061510259281,0.558902901683758,-0.0120079222206638,-0.109641848644526,-0.223168227377902,-0.200771455311132,-0.202229240000026,-0.214136829028307,-0.172279716062172,-0.250490604265728,0.558100412576867,-0.0119741941229828,-0.109344418447411,-0.222910601522675,-0.200336696221161,-0.20201660640499,-0.213962762580494,-0.172398541983056,-0.250181429324979,0.559238924754631,-0.0120279870557359,-0.109741998243721,-0.223148440677634,-0.200860836170676,-0.202217801063795,-0.214174765525213,-0.172637011502212,-0.250626254208881,0.559975901031709,-0.0120829854132313,-0.110039243521306,-0.223077475781062,-0.200833140479181,-0.202084242147546,-0.214168173082692,-0.173411831131266,-0.250926206150587,0.558307449153813,-0.0120220427407602,-0.109483902917786,-0.222393848116476,-0.200459276962813,-0.201416398056894,-0.21353901706881,-0.172689541237506,-0.250306785886039,0.559290872959071,-0.0120493574571571,-0.109769754102035,-0.222843598634651,-0.200652101134776,-0.201870310455461,-0.213916892983873,-0.17302161695455,-0.250759815924957,0.558954934489793,-0.0119968575491719,-0.109569624898373,-0.223452677955558,-0.200906999826955,-0.20263646888344,-0.214532794577323,-0.172869110587476,-0.250290957156045
"2003:age_Dx",-0.0313296225853203,0.00452566519265431,-0.000611743522213765,0.00163783051261736,-0.00351182224895676,-0.00559015931693961,-0.00143011340225149,0.000347191193380886,0.00252098834733404,-0.0120327223860357,0.00202815955695219,-0.000703983076214476,0.00029691412359609,-0.00158847832428837,-0.00238077682031149,-0.000957010666329944,-0.000464776811582601,0.000826537285600575,-0.0120185783133017,0.00202707779740171,-0.000704212672091324,0.000281805379384062,-0.00158154738876252,-0.00240188107773637,-0.000965552270331081,-0.000474009018808977,0.000828044893560672,-0.0120040789536536,0.00202594539399548,-0.000700519849525798,0.00021055126043754,-0.0015643586500383,-0.00247621640090366,-0.00101992174466731,-0.000484669431675185,0.00086348321333932,-0.0119746979172369,0.00202053380425372,-0.000702430201415157,0.000250108665603666,-0.00156863954095134,-0.00244015886927181,-0.000983129453885699,-0.000474230626753548,0.000840031457769771,-0.0120195431666302,0.00202822532675036,-0.000701622073836006,0.000225548381325764,-0.00157005951209846,-0.00246059649057284,-0.00101009229194215,-0.000479085499187261,0.000858214342285021,-0.0120534094814711,0.00203435688987223,-0.000700816131618214,0.000227147004816896,-0.00157610823219281,-0.0024677596555318,-0.00101120958893518,-0.000476299970519582,0.000859883894812938,-0.0119942574103022,0.00202467116466179,-0.000701657900378561,0.000211106110650751,-0.00156232933533678,-0.00248535523526186,-0.0010169170655946,-0.000487198502798616,0.000861990126020193,-0.0120245353322896,0.00202950883153366,-0.000700995777284649,0.000222864000503234,-0.00156934807052425,-0.00247124909946241,-0.00101118527350973,-0.00048432416036991,0.000859754689815658,-0.0120005882017524,0.00202432412188838,-0.000705540509528815,0.000272900157068498,-0.00157972113037297,-0.00240508555231552,-0.000971810956201118,-0.000465615595526043,0.000831886465907085
"2003:sexM",-0.268868247114643,-0.00061174352221422,0.432534925453545,0.0492231991232211,0.050213528648778,0.0688236846489072,0.0694449223344485,0.0246086226493918,-0.00274652360204441,-0.110097267273896,-0.000685468705696627,0.177941565484166,0.020277844935013,0.0245014951198454,0.0300136060359067,0.0307805873903642,0.0122099140276796,-0.000561161906558416,-0.109837600237786,-0.000701386474673858,0.177745617502384,0.0200253731360919,0.0245767063933212,0.0297281621485859,0.0305576352860679,0.0119254102326376,-0.000406652437687123,-0.109643906685221,-0.000698097394299529,0.177495309302412,0.020069929889016,0.0245305442648382,0.0297699620391194,0.0306535720154079,0.0119892838234067,-0.00055277081691163,-0.109590001671962,-0.000682381673987103,0.177159015282286,0.0203211292267583,0.0244296389496289,0.0299922675858383,0.0306803792536741,0.0120583513893367,-0.000589201836670723,-0.109704743826349,-0.000705160203055562,0.17768638220353,0.0199742550853555,0.0245847823550965,0.029675074443332,0.0305892677215189,0.0119781229099957,-0.00050212572745191,-0.110197288199988,-0.000691798886781607,0.17821309671996,0.0202400570253602,0.0245916008334275,0.0299809048236549,0.0307992387878682,0.01207462975922,-0.00056732076361922,-0.109506469185666,-0.000706697553567539,0.17736094947762,0.0199754742562766,0.0245692261287152,0.0296562769950986,0.0305065190190276,0.0119519280504514,-0.000494990065474238,-0.109791246422692,-0.00070532584636421,0.177797628001436,0.0200158765441858,0.0246134809262479,0.0297155512401735,0.0305931770339744,0.0119331429330916,-0.000486653150569404,-0.109725541064568,-0.000692593331018896,0.177512165332435,0.0201682669924922,0.0244883544674061,0.0298754865459604,0.0306603787615564,0.0119847852522932,-0.000539799636090719
"2003:SES2",-0.768055182980891,0.00163783051267388,0.0492231991230633,1.11079212389924,0.705978621603561,0.708995037288423,0.711338413111766,0.0383256555306473,0.0223460752568467,-0.223963719538078,0.000238088581889448,0.0200205348736172,0.403205477917262,0.202528943792899,0.203285428848393,0.203693011434779,0.0115912117073839,0.0103654715162161,-0.223726956927607,0.000311760243858583,0.0198943096645657,0.402666869808339,0.202214747220769,0.202893961641709,0.203362716307306,0.0123014781545801,0.00979957958044798,-0.223511532405954,0.000243656877441444,0.0200053664845069,0.402244804749893,0.201995571670033,0.202700918501792,0.203145759236336,0.0117854137185471,0.0103457182490941,-0.22306190223389,0.000258216152676632,0.0198880641210249,0.401629411399584,0.201634333613406,0.202351781583697,0.202790467438864,0.0117739323306749,0.010160373560466,-0.223637573038167,0.000256089252853328,0.0200097723081763,0.402426832706032,0.202104651792422,0.202796313177568,0.203243651517847,0.0118676935187579,0.0102825555211538,-0.223738024370417,0.000297312018838164,0.0200066450016692,0.402481125907378,0.202105049494417,0.202821228034602,0.203279704349479,0.0123351327095945,0.0099875081319037,-0.223162314004299,0.000278636587684677,0.0199270007933802,0.401627461040039,0.201652993226465,0.202302773829584,0.202767010486363,0.0120712046448659,0.0101006829334899,-0.223419761013065,0.000296976544514935,0.0199528353219008,0.40202098560885,0.20187122949271,0.202549530091753,0.203014178124851,0.0122991206103277,0.00996034558288618,-0.223736490019936,0.000277175680994782,0.0199241056989032,0.402730396003901,0.20224768870006,0.202974630183303,0.203415964456698,0.0120210599573823,0.0100694219825922
"2003:SES3",-0.696291088863006,-0.00351182224886633,0.0502135286487254,0.705978621603957,1.90952634487068,0.71561335169031,0.712465600895182,0.00973099779188252,-0.0220726830107263,-0.201071240210258,-0.00160910518754674,0.0246028962295244,0.202548935061772,0.405430338697614,0.206618848664004,0.20555091283517,0.00692262934510232,-0.00814841452842766,-0.200920433360139,-0.00155712351110349,0.024547902530088,0.202235269081348,0.404815543490897,0.206269758827019,0.205246527530858,0.00757019683787716,-0.00843756706338901,-0.200559674283585,-0.00159741127502395,0.0245633423160642,0.202039175971334,0.404407408614282,0.20606678380637,0.205019593763348,0.0067540549342977,-0.0082091620343574,-0.20023616907999,-0.00157196899807427,0.0244319431474783,0.201655922959048,0.40374916707469,0.205703369861919,0.204639901297777,0.00722279779392913,-0.00832324991816877,-0.200679767643345,-0.00158366943962876,0.0245666276195765,0.202132337455164,0.404594982285942,0.206164839667032,0.205127086887277,0.00695046918103681,-0.00831426616596039,-0.200689530040132,-0.00157754576460763,0.0245744040970515,0.202174284234054,0.404645481247264,0.206226992527841,0.205170842215274,0.00712567857398176,-0.0084416990012674,-0.200254982477355,-0.00153730581546902,0.0244581609044432,0.201664947668609,0.403723617446431,0.205704202282249,0.204667489357687,0.00750902929366457,-0.00859215316531162,-0.200433356281549,-0.00157182895086259,0.0245199739404916,0.20189792571554,0.404165145177395,0.205937804624855,0.204897678540626,0.00711122318185803,-0.00842354028003676,-0.201085788435984,-0.00153626593308482,0.0245669919463207,0.202295386374224,0.404905108187817,0.206324300434008,0.205302592268801,0.00779489820158348,-0.00851608501073055
"2003:SES4",-0.705847460730081,-0.00559015931688134,0.0688236846488862,0.708995037290253,0.715613351692569,1.30871695283706,0.719700167727566,0.055393528505424,-0.019341763060392,-0.203240404684639,-0.00240084015021286,0.0296808878911922,0.203248212260203,0.206556941781177,0.542864560026701,0.207535698907449,0.0227708348994821,-0.0067217075201533,-0.202961825784249,-0.00238405423782848,0.029619518041025,0.202909991169201,0.206263035102741,0.542271065038463,0.207204079240878,0.0229726002935483,-0.00682417779739557,-0.202850169223144,-0.00237147269773236,0.0296289241727922,0.202840961292302,0.205955379075773,0.541739737315909,0.207074984393479,0.0227474465500884,-0.00677281220207038,-0.202374788872964,-0.00237736716216548,0.0295194528466092,0.202359069183476,0.205634491652351,0.541220987569782,0.206622854748679,0.0227075630423232,-0.00682469543897815,-0.20297590350147,-0.00235359379782024,0.0296344491017397,0.202902985291776,0.206078129966979,0.541946549739489,0.207160426982082,0.0229954094572583,-0.00691491800777667,-0.203075215424875,-0.00232444847570057,0.0296786458474144,0.202938081145837,0.206087500649269,0.542044684592139,0.207215628518867,0.023441628239014,-0.00717637820781496,-0.202464207328091,-0.00232589556679699,0.0295415975436103,0.202395646290186,0.205620934896398,0.541131518958154,0.206664332927132,0.0232104955101621,-0.0071282094843743,-0.202715120812306,-0.0023498479280934,0.0296249094731067,0.202646146422252,0.205864058569199,0.541559114409777,0.206917642868219,0.0231530773512197,-0.00700699130482048,-0.203088036476523,-0.00235564118861418,0.0295763693200616,0.202989896814526,0.206256987195525,0.542322162328535,0.207263734297538,0.0230612298332697,-0.00692944353387068
"2003:SES5",-0.742283241669746,-0.00143011340219414,0.0694449223345297,0.711338413112616,0.712465600895946,0.719700167726422,1.1701255331415,0.0650966926218752,-0.0114574452946121,-0.21492376110734,-0.000981287207441092,0.0305726228970652,0.203687873827266,0.205524809348184,0.207561052274712,0.407375334424761,0.0225727477728386,-0.00309602142785816,-0.21457753082196,-0.000998513465894801,0.0304986603012896,0.203335321113678,0.205251427948725,0.207212191159623,0.40684051227805,0.0226954492020732,-0.00296819252507451,-0.21441453368975,-0.00100694574078819,0.0305991680561963,0.203224703573379,0.204991322211068,0.207045192821637,0.406289553798109,0.0226164587080542,-0.00292391049090578,-0.214000096430283,-0.000994298700003658,0.0303992626098597,0.202755494676339,0.204645717977904,0.206622038070302,0.405779125107422,0.0225200022351669,-0.00296594893128112,-0.214544275325217,-0.000976387487588919,0.0305990079387845,0.203294911370829,0.205100794480077,0.207124617598215,0.406485662590035,0.0228213724399477,-0.00312871127226047,-0.214645518209088,-0.000961635813027515,0.030629082819524,0.203326703896952,0.205112872121504,0.207182543220802,0.406609448106413,0.0231818356827046,-0.00325506883166356,-0.214061567347897,-0.000940249565432853,0.030456350191738,0.20276013008375,0.204647130499737,0.206594731682488,0.40569064247851,0.0230888196133282,-0.00333941955761935,-0.2143255800283,-0.000967844164561942,0.0305519407230215,0.203028765725658,0.204883674602989,0.206869368061201,0.406106545763586,0.0229944915509666,-0.00317797864888963,-0.214631431673476,-0.000989228872652357,0.0304861258185308,0.203411484217596,0.205260410871231,0.207277316206643,0.406878497129188,0.02269760789289,-0.0030191959338093
"2003:ruralY",-0.392079969879533,0.000347191193384727,0.0246086226493487,0.0383256555294119,0.00973099778989633,0.0553935285041991,0.0650966926206317,0.914393363344432,0.260529346930695,-0.172526433890281,-0.000500770950582574,0.0119888862023335,0.0113176536956192,0.00705460961765657,0.0220897789854811,0.0223431561679525,0.442627873184683,0.127757092498602,-0.172382079225835,-0.000516752332768224,0.0119106864605198,0.0110704013519181,0.00716318398908596,0.0217909645254191,0.0221773139436244,0.442742760775986,0.127906591735431,-0.172648240331788,-0.000450571757333944,0.0119360254332155,0.0122791022614958,0.00705053213933411,0.0227941045584099,0.0229291414865988,0.441451959232311,0.127190670808755,-0.171931351955772,-0.00050727411645168,0.0118672301468817,0.0108864981410585,0.00719581771465237,0.0214637646800864,0.0220340174649207,0.44133352279538,0.127550839272075,-0.172772130114602,-0.000462490102651167,0.0119422807105815,0.0120232230867963,0.00707604392263615,0.0226077516461872,0.0227752053469048,0.442129497574268,0.127449269317047,-0.173026081099284,-0.000473399977785276,0.0119140967877653,0.0116993225392842,0.00704839232262712,0.0223134822842066,0.0226330028031238,0.443723886129339,0.127848162494527,-0.172205420639937,-0.000494244512948018,0.0118732576664007,0.0112667265175909,0.00717162965521896,0.0217892949939904,0.0222763077092328,0.441795677438139,0.127543616421717,-0.172703552983712,-0.000482833385396231,0.0119052326324666,0.0116099385843819,0.00714372481989595,0.0221929621014198,0.0225254268573576,0.4428487396217,0.127696604992754,-0.172326033414306,-0.000496483516300983,0.0118631335820171,0.011312020097065,0.00707939580939482,0.0219930608416521,0.022307560094018,0.441900152695127,0.127672582748406
"2003:distanceshort",-0.514248728508204,0.00252098834733588,-0.00274652360200679,0.0223460752560787,-0.0220726830121944,-0.0193417630612323,-0.0114574452955707,0.260529346930571,0.627885931856878,-0.250158057555357,0.000802516491077484,-0.000456287832912697,0.00954564208142197,-0.00818214901686938,-0.00731866735456084,-0.00345773589612193,0.127342856878066,0.294174727373561,-0.2502789681677,0.000801247418579268,-0.000407739699740808,0.00964580922355325,-0.00820956112173628,-0.00717203426786234,-0.00337001594409503,0.127545734588325,0.29421051882535,-0.250199552110696,0.000832217503575032,-0.000486672922042894,0.0100462024576738,-0.00818637302955016,-0.00676799938811797,-0.00319875933483871,0.127211157681906,0.293700937665088,-0.250055058855142,0.000825142860582123,-0.000465890452645803,0.0100280381130717,-0.0082548646869811,-0.00678615183754964,-0.00311872484085325,0.127220008467342,0.293562463309383,-0.250301942260927,0.000824370234431491,-0.000477795585659926,0.00988051003043867,-0.00819753884116355,-0.00695380343682842,-0.00330041817346308,0.127308878528933,0.293988240927884,-0.250494302442472,0.000806891496297344,-0.000463391152675675,0.00960810092746772,-0.00819393969316559,-0.00728165885058996,-0.00348925715595863,0.127486149750396,0.29457793351832,-0.25007061403261,0.00082148634423589,-0.000467976301972768,0.00983255232286905,-0.00823603668647709,-0.00697340820635646,-0.00329358181286481,0.127228775462171,0.293735440048953,-0.250542969641834,0.000825267875835947,-0.000469367700396208,0.00989483130787498,-0.00823359326291445,-0.00694936774484045,-0.00327884375047698,0.127472739508079,0.294267622901124,-0.250009052724549,0.000805054447539277,-0.00045349471725549,0.00967474455860419,-0.00818741331095738,-0.00714347585798111,-0.00336258173537006,0.127366441600004,0.293838464240947
"2004:(Intercept)",0.559662787204874,-0.0120327223860539,-0.110097267273854,-0.223963719537575,-0.201071240208971,-0.203240404683585,-0.214923761106397,-0.172526433890546,-0.25015805755568,0.860444130067479,-0.0193408300998026,-0.184082656608289,-0.353198915611937,-0.312999210902977,-0.318641870567116,-0.337922969344373,-0.264389631531519,-0.36368029662468,0.559908894048424,-0.0120063449724377,-0.109556916858511,-0.224369206931476,-0.201298089485486,-0.203268414789494,-0.215036331568864,-0.173049134431957,-0.250797249685843,0.559546393177219,-0.0120136265697699,-0.109481548779554,-0.223745524655403,-0.200872386654689,-0.202797620210217,-0.214519121339218,-0.173047850701223,-0.250853474097752,0.560429570051262,-0.01202737781864,-0.109544593648832,-0.224130133552893,-0.201101048748501,-0.203167139098932,-0.214948214904183,-0.173266979733176,-0.251470863668795,0.559907548872445,-0.0120215888472866,-0.109625779251749,-0.223945609896913,-0.200983110056343,-0.202880175316329,-0.214629826980257,-0.173208096345367,-0.251016492890765,0.560246622062672,-0.012037566246787,-0.109681099647361,-0.224277372186747,-0.201222835013141,-0.203084080336118,-0.214883199949071,-0.173323633705074,-0.251011306178429,0.560213866103788,-0.0120292972243065,-0.109651016389825,-0.224139368125156,-0.201082447104788,-0.20291160404001,-0.214711565280254,-0.173242580048048,-0.251240772017108,0.559741532556213,-0.0120184719522669,-0.109566360580548,-0.224021538888532,-0.201034439481593,-0.202908913754157,-0.214674583100212,-0.172946037557524,-0.25084929073322,0.560227616212934,-0.0120217311011878,-0.109677747117437,-0.224313640941873,-0.201263138934679,-0.203273043898155,-0.215046202882244,-0.173280038434702,-0.251006289559645
