"","(Intercept)","age_Dx","sexM","SES2","SES3","SES4","SES5","ruralY","distanceshort","dxyear2003","dxyear2004","dxyear2005","dxyear2006","dxyear2007","dxyear2008","dxyear2009","dxyear2010","dxyear2011","dxyear2012","lineageT","protocolDFCI","cytogenetics_catFavorable","cytogenetics_catNeutral","cytogenetics_catUnfavorable","wbc_cat>=50"
"(Intercept)",35796230188.8112,-148373251.945612,3561210.50056833,136743598.293237,221770464.164762,332673391.383072,-170144431.982146,269292411.969556,-196735446.424039,-26293980179.082,-25740593161.6138,-26612385007.8715,-26533435515.8839,-26378679912.4735,-26579270368.9298,-26843662650.1252,-26371956075.9635,-26603888474.9301,-26261469448.5579,123331763.210401,-81372166.6748757,-8164990814.12816,-7777479540.11017,-7381580704.03882,-1686446621.12516
"age_Dx",-148373251.945612,19653747.0543547,15395212.7755049,38640184.5426968,32155547.2432127,21585230.0081567,96887802.0890703,-9148106.26973374,8286030.5851484,24247640.4780843,170692675.516491,4845717.52533293,37637072.2059809,28371387.2008589,84002447.5175282,16130580.5969457,33033885.6907026,35063900.9467908,12845792.4567,7253711.94301702,7043892.87012253,-105738889.835924,-101954869.644408,-57038128.7562101,1378503.50616854
"sexM",3561210.50056833,15395212.7755049,252353467.033182,190855565.936608,143604989.203419,151189422.001736,311946761.920643,-4593074.43884182,-132516003.170866,212420160.11932,563400784.905367,16733880.3105941,127491597.835445,71252053.7153467,300391004.733367,24429286.8965283,227018205.634429,239430712.565996,46664516.0539647,-36590251.8749723,-48792784.938431,-438650508.947675,-448737652.142211,-278694117.763511,-454587627.175821
"SES2",136743598.293237,38640184.5426968,190855565.936608,411651016.846769,363171987.487078,304252054.011159,611478593.05421,29371967.078117,-21060479.5515328,77258011.319811,1206207783.42486,-123091305.538585,158626006.331782,131855258.861308,522392351.783807,-112252420.081971,208096624.70012,112527111.966365,38007213.0185325,124669046.341985,23561668.9714503,-1057319957.20019,-931682718.059369,-531218616.983177,-906228651.936586
"SES3",221770464.164762,32155547.2432127,143604989.203419,363171987.487078,383021133.734179,319451210.630833,523947631.333236,89373119.5617298,-31151307.1902176,80651142.9942325,1054049128.58289,-166083553.847099,64223157.7834068,96391740.5351768,382574662.745886,-179086597.473398,120956789.548977,58456438.8058649,4400702.80766122,117951896.793466,16144601.2778853,-1002946462.44845,-844433412.577765,-457548950.608091,-781125986.883696
"SES4",332673391.383072,21585230.0081567,151189422.001736,304252054.011159,319451210.630833,422896424.36837,431625911.564196,116166714.069649,-199234794.254904,324770413.937387,929108311.484802,-91414169.6870879,36879701.2646305,74773796.7761006,275189631.162959,-265073543.607369,170463780.288936,128626271.302341,117049601.206354,54828523.0790515,-84249830.067523,-936963015.03511,-707941996.094951,-387487563.815549,-603002485.535413
"SES5",-170144431.982146,96887802.0890703,311946761.920643,611478593.05421,523947631.333236,431625911.564196,1421762374.85255,-123715757.672931,-13399327.7248192,219163386.916472,2918818069.2088,219796915.434275,774206790.659773,634962074.171029,1407844863.57037,255312428.017684,803588023.51584,579829934.906429,501227446.289369,194730149.759985,-2896230.76202555,-2026635341.91583,-1835633119.13568,-1220208883.9214,-1730061491.08232
"ruralY",269292411.969556,-9148106.26973374,-4593074.43884182,29371967.078117,89373119.5617298,116166714.069649,-123715757.672931,314105707.09611,-60211045.3520477,69349475.6477968,-386765230.87803,-226121481.283914,-311100264.748347,-153558996.701409,-420750975.755367,-288399585.468242,-178817447.587932,-172462564.556427,-131482372.39379,2645662.83183445,-31872244.6474786,-72415604.6668119,43349836.6358814,103968030.988513,234558004.072277
"distanceshort",-196735446.424039,8286030.5851484,-132516003.170866,-21060479.5515328,-31151307.1902176,-199234794.254904,-13399327.7248192,-60211045.3520477,318489168.999258,-462166689.813911,-80846494.1918924,-94098508.9310781,27822562.4059081,-9000785.73373261,33669890.7603718,81799350.3706395,-158584459.575567,-222633207.138668,-179197150.889712,99496024.9725558,164866023.335925,143835674.959158,52112078.301188,30286255.9182197,-39477821.0282439
"dxyear2003",-26293980179.082,24247640.4780843,212420160.11932,77258011.319811,80651142.9942325,324770413.937387,219163386.916472,69349475.6477968,-462166689.813911,3756827686295.95,26744669464.0014,26496668688.3935,26348849721.0136,26386516566.1421,26404467968.8248,26243884622.5794,26660701537.9185,26722252279.6666,26665036646.1562,-140851930.88588,-319242558.591075,-393263811.387441,-260767790.666484,-170721067.314951,90753569.7521238
