"","(Intercept)","age_Dx","sexM","SES2","SES3","SES4","SES5","ruralY","distanceshort","dxyear2003","dxyear2004","dxyear2005","dxyear2006","dxyear2007","dxyear2008","dxyear2009","dxyear2010","dxyear2011","dxyear2012"
"(Intercept)",0.770205888150008,-0.00547941379106205,-0.0452084157762583,-0.0822851175686147,-0.0716188808198307,-0.0666447677471011,-0.0902162363851263,-0.0443039646577496,-0.076964998622751,-0.559334338120029,-0.561593041865923,-0.574393588587874,-0.577875069063676,-0.575792427830146,-0.577275516670773,-0.577793219353475,-0.575425265216861,-0.578561742806487,-0.573721975778885
"age_Dx",-0.00547941379106205,0.000623945916579013,0.000178699287209439,0.0000872704419024701,-0.00034178426037703,-0.000673186954335052,-0.000367609057356156,-0.00074661025695366,0.000482754031958584,-0.000959970777657876,-0.0014498870372076,0.000108189393328732,0.000517422300123867,0.000597719713614071,0.00037076330378387,0.000676125599743652,0.000577169693074395,0.000608229234036882,0.0000446638649131202
"sexM",-0.0452084157762583,0.000178699287209439,0.0731888878649706,0.00902990510322653,0.00855605217581354,0.00983249242409434,0.0110644361897618,-0.00149508077391688,-0.00228680584105411,-0.0117088483890788,-0.0175952862459858,-0.00983459900380718,-0.015505196378702,-0.0147535799902486,-0.0102484857761536,-0.0116698611965071,-0.0100755940729902,-0.00975355575558906,-0.0135616062361637
"SES2",-0.0822851175686147,0.0000872704419024701,0.00902990510322653,0.157886365580159,0.0774712452768,0.0788647116561957,0.0784595241636579,0.0100870196172434,0.00591342359619946,-0.0149032975368716,-0.000430728386238086,-0.0112249893422989,0.000122146840090418,-0.00536674731594613,-0.00565682882647466,-0.0164141052954032,-0.0061938046801609,-0.00715433799991909,-0.00677080772874632
"SES3",-0.0716188808198307,-0.00034178426037703,0.00855605217581354,0.0774712452768,0.1518999559496,0.0781017742700619,0.0781375843164587,-0.00322026276058732,-0.00383859645385891,-0.00678176434177026,-0.00170998532374654,-0.0126504437439308,0.00407030175207739,-0.00476976493557214,0.000346111296652407,-0.00551822733284371,-0.0135028794363747,-0.00579365539837384,-0.0119995360222591
"SES4",-0.0666447677471011,-0.000673186954335052,0.00983249242409434,0.0788647116561957,0.0781017742700619,0.154577887250784,0.0793556337852023,0.00992580223182056,0.00142187836762692,-0.0204631093509879,-0.00709792865155971,-0.00939371673791708,-0.00971950629262682,-0.00955354053907457,-0.0126546267345027,-0.0244887346496749,-0.0187015791450518,-0.0182831892245548,-0.0135744529531664
"SES5",-0.0902162363851263,-0.000367609057356156,0.0110644361897618,0.0784595241636579,0.0781375843164587,0.0793556337852023,0.171566314574618,0.00927914945373326,-0.000446120957932181,-0.0198051249247897,0.0176032016702053,0.0134393561522191,0.0204558798513245,0.00857578008174538,0.00274637690022969,0.00447188729722572,0.000891971519993588,0.0046457033884765,0.0102746385523079
"ruralY",-0.0443039646577496,-0.00074661025695366,-0.00149508077391688,0.0100870196172434,-0.00322026276058732,0.00992580223182056,0.00927914945373326,0.395320250450993,0.0395359703681611,-0.000201251493066367,0.0110967434963782,-0.00559278452610908,-0.00054271596060776,0.00714389858621435,-0.00290803813172194,-0.00267891619264266,0.00224834450216859,-0.00452619136194717,-0.000639081343902255
"distanceshort",-0.076964998622751,0.000482754031958584,-0.00228680584105411,0.00591342359619946,-0.00383859645385891,0.00142187836762692,-0.000446120957932181,0.0395359703681611,0.0878144946085499,0.0126773698471867,0.00431933987938206,0.00631302923399226,0.000921319583318904,0.0043795829779959,0.00736690397039079,0.00985612618545809,0.00744817008771224,0.00790704211256152,0.00886824877357516
"dxyear2003",-0.559334338120029,-0.000959970777657876,-0.0117088483890788,-0.0149032975368716,-0.00678176434177026,-0.0204631093509879,-0.0198051249247897,-0.000201251493066367,0.0126773698471867,1.70500848929835,0.579334839600276,0.576244378566726,0.575718066242975,0.576317925074526,0.577993476418429,0.579184148868449,0.577314186184497,0.577695685801837,0.577808485938126
"dxyear2004",-0.561593041865923,-0.0014498870372076,-0.0175952862459858,-0.000430728386238086,-0.00170998532374654,-0.00709792865155971,0.0176032016702053,0.0110967434963782,0.00431933987938206,0.579334839600276,1.6381527118932,0.581023564426279,0.581954528451579,0.580003639270931,0.578552628793179,0.580296018978325,0.578934142750946,0.579103142127609,0.582118454201452
"dxyear2005",-0.574393588587874,0.000108189393328732,-0.00983459900380718,-0.0112249893422989,-0.0126504437439308,-0.00939371673791708,0.0134393561522191,-0.00559278452610908,0.00631302923399226,0.576244378566726,0.581023564426279,0.803399735892169,0.581087560912142,0.580070487976177,0.578427458609146,0.581424257390791,0.579783739853079,0.579959743790886,0.581854232697194
"dxyear2006",-0.577875069063676,0.000517422300123867,-0.015505196378702,0.000122146840090418,0.00407030175207739,-0.00971950629262682,0.0204558798513245,-0.00054271596060776,0.000921319583318904,0.575718066242975,0.581954528451579,0.581087560912142,0.77355793962801,0.581660879091277,0.579903376811437,0.582766942530751,0.580202446241565,0.581111846465907,0.581752311843537
"dxyear2007",-0.575792427830146,0.000597719713614071,-0.0147535799902486,-0.00536674731594613,-0.00476976493557214,-0.00955354053907457,0.00857578008174538,0.00714389858621435,0.0043795829779959,0.576317925074526,0.580003639270931,0.580070487976177,0.581660879091277,0.71012267931203,0.578882234948409,0.581298270881266,0.579708222491201,0.579908432882912,0.580684770399977
"dxyear2008",-0.577275516670773,0.00037076330378387,-0.0102484857761536,-0.00565682882647466,0.000346111296652407,-0.0126546267345027,0.00274637690022969,-0.00290803813172194,0.00736690397039079,0.577993476418429,0.578552628793179,0.578427458609146,0.579903376811437,0.578882234948409,0.713094051655447,0.580934783391668,0.57865902170366,0.579435337427193,0.579212411939046
