"","0.1%-1%:(Intercept)","0.1%-1%:age_Dx","0.1%-1%:sexM","0.1%-1%:SES2","0.1%-1%:SES3","0.1%-1%:SES4","0.1%-1%:SES5","0.1%-1%:ruralY","0.1%-1%:distanceshort","0.1%-1%:dxyear2003","0.1%-1%:dxyear2004","0.1%-1%:dxyear2005","0.1%-1%:dxyear2006","0.1%-1%:dxyear2007","0.1%-1%:dxyear2008","0.1%-1%:dxyear2009","0.1%-1%:dxyear2010","0.1%-1%:dxyear2011","0.1%-1%:dxyear2012","0.1%-1%:lineageT","0.1%-1%:protocolDFCI","0.1%-1%:cytogenetics_catFavorable","0.1%-1%:cytogenetics_catNeutral","0.1%-1%:cytogenetics_catUnfavorable","0.1%-1%:wbc_cat>=50","0.1%-1%:leukemia_risk_groupstandard","0.1%-1%:cns_statusCNS2","0.1%-1%:cns_statusCNS3",">1%:(Intercept)",">1%:age_Dx",">1%:sexM",">1%:SES2",">1%:SES3",">1%:SES4",">1%:SES5",">1%:ruralY",">1%:distanceshort",">1%:dxyear2003",">1%:dxyear2004",">1%:dxyear2005",">1%:dxyear2006",">1%:dxyear2007",">1%:dxyear2008",">1%:dxyear2009",">1%:dxyear2010",">1%:dxyear2011",">1%:dxyear2012",">1%:lineageT",">1%:protocolDFCI",">1%:cytogenetics_catFavorable",">1%:cytogenetics_catNeutral",">1%:cytogenetics_catUnfavorable",">1%:wbc_cat>=50",">1%:leukemia_risk_groupstandard",">1%:cns_statusCNS2",">1%:cns_statusCNS3","Negative:(Intercept)","Negative:age_Dx","Negative:sexM","Negative:SES2","Negative:SES3","Negative:SES4","Negative:SES5","Negative:ruralY","Negative:distanceshort","Negative:dxyear2003","Negative:dxyear2004","Negative:dxyear2005","Negative:dxyear2006","Negative:dxyear2007","Negative:dxyear2008","Negative:dxyear2009","Negative:dxyear2010","Negative:dxyear2011","Negative:dxyear2012","Negative:lineageT","Negative:protocolDFCI","Negative:cytogenetics_catFavorable","Negative:cytogenetics_catNeutral","Negative:cytogenetics_catUnfavorable","Negative:wbc_cat>=50","Negative:leukemia_risk_groupstandard","Negative:cns_statusCNS2","Negative:cns_statusCNS3","Not measured:(Intercept)","Not measured:age_Dx","Not measured:sexM","Not measured:SES2","Not measured:SES3","Not measured:SES4","Not measured:SES5","Not measured:ruralY","Not measured:distanceshort","Not measured:dxyear2003","Not measured:dxyear2004","Not measured:dxyear2005","Not measured:dxyear2006","Not measured:dxyear2007","Not measured:dxyear2008","Not measured:dxyear2009","Not measured:dxyear2010","Not measured:dxyear2011","Not measured:dxyear2012","Not measured:lineageT","Not measured:protocolDFCI","Not measured:cytogenetics_catFavorable","Not measured:cytogenetics_catNeutral","Not measured:cytogenetics_catUnfavorable","Not measured:wbc_cat>=50","Not measured:leukemia_risk_groupstandard","Not measured:cns_statusCNS2","Not measured:cns_statusCNS3"
"0.1%-1%:(Intercept)",3.82259922548343,-0.131248235225994,-0.151860151693482,-0.25549184214739,-0.178429642073605,-0.247503630532214,-0.35725442660618,-0.286293723895221,-0.678931440905107,-0.0000263456583365405,-0.000000424845274927049,0.600014251500411,0.522295378870995,0.69527154631415,-0.000000151309328888376,0.467592179562673,0.537828853205775,0.473035404994186,0.526588534006029,0.143257116452883,-0.0000000029056061381914,-1.60311013698755,-1.56182872434304,-1.33411341665146,-1.19915413273217,-1.36193241773724,-0.00000000196901332093815,-0.00000000197308541869801,1.40373106435088,-0.0397953365031036,-0.0476972911756612,-0.0312412318751295,-0.0197695912326863,-0.066822966584772,-0.0539894809718028,-0.0779006040837432,-0.473913877390965,-0.00000000254376383418606,-0.0000000000269613514799326,0.236404475722345,0.210487616958725,0.265941531852666,0.123216151395431,-0.0000000000000370738575185441,0.175560337858232,0.170528489308941,0.221592463825965,0.0987233439914713,-0.0184225966859647,-0.462272563482372,-0.457523722436954,-0.432257442017038,-0.488254776358167,-0.472046459971904,0.0110981055658229,0.0513935613826431,1.43078611596072,-0.0408503010915941,-0.0519761672342316,-0.036689600749156,-0.0346042210359886,-0.0626364831708677,-0.0620335342186072,-0.0937598767690242,-0.475910650365397,0.0000000000000532649797517692,0.105225128060597,0.21551835023156,0.173717169543833,0.24308397105777,0.10520470331846,0.112031318821086,0.159479269347388,0.136430151631823,0.180096053929114,0.103297162473069,-0.0259904190370049,-0.442910701119995,-0.433944895442032,-0.429258287363027,-0.478362011843643,-0.474478618296616,0.00343804020091879,0.0250725732979866,1.42924563028277,-0.0399085358133483,-0.0503305092677399,-0.028819106775633,-0.0257692032180644,-0.0569096636324733,-0.0540263006872335,-0.0866755816690871,-0.471385239678527,0.0000253095496094999,0.110354924912599,0.213919859148872,0.173122059190894,0.242196168163493,0.104585058532152,0.106347938871245,0.157956511621303,0.133490457225486,0.18724746120227,0.102108531308913,-0.0282917298467771,-0.462710962456865,-0.452315588296012,-0.455319884346198,-0.482149514741299,-0.46451548253757,0.00189244784230069,0.0121334085724638
"0.1%-1%:age_Dx",-0.131248235225999,0.00998804753688316,-0.00286104553332218,-0.00612043372303934,-0.00881511121910473,-0.00703063292228766,0.0000261755090638261,0.00174710547747185,0.00516913567951312,0.000000814544612234438,0.0000000142536828857516,-0.0193076924655738,-0.0172474013599922,-0.0243685824530797,0.00000000448283374340042,-0.0198386267529138,-0.0169949966919355,-0.0158940470009281,-0.0175977218193807,-0.0099401466693763,-0.000000000268397699134303,0.0252633560171281,0.0202999478325998,0.0056851343454433,0.0717564361455013,0.0898200498806549,0.0000000000396732234987048,0.000000000037568002149818,-0.0402214675778818,0.00306942482100063,-0.000918259074662969,-0.00251482452173961,-0.00127391329835511,-0.000794767031742694,-0.00102245527247173,-0.000919974013153503,0.000411394257753736,0.0000000000795559458174354,0.00000000000111444600963859,-0.00677620040557005,-0.00770920232466697,-0.00744389110107747,-0.00386276094786192,0.00000000000000132696192846304,-0.0035420175077475,-0.00406637527148153,-0.00682102010020556,-0.00599165814437641,0.00117925891727417,0.00796961732131559,0.00734715927993259,0.00451435883838892,0.0246814864397963,0.0274174313247656,0.000166476215007764,-0.00397807236898379,-0.0416126864765792,0.00315407866031749,-0.00106848409869881,-0.00221713082158822,-0.00108986832649338,-0.000868816743452112,-0.000581769552092655,-0.00163429081678689,0.000641865375174321,-0.00000000000000144737373369042,-0.00503557298696826,-0.00625090159061534,-0.00560970053423979,-0.00681169736426628,-0.00284122954397872,-0.00311985184094486,-0.00354592285921045,-0.003330452522724,-0.00506735723310666,-0.00645067770266117,0.00185505102364205,0.00712538213034334,0.00614378548656732,0.00410214623897807,0.0247435245001569,0.0281043555546354,0.000782146671264972,-0.0020644380747071,-0.0410491935497073,0.0030666343109623,-0.00102220781445022,-0.00211491633755399,-0.000898681102022676,-0.000629372696586699,-0.000590971329770491,-0.00163311127469296,0.000565576694482917,-0.000000787510874570127,-0.00528606314028596,-0.00610279085380599,-0.00567033939261954,-0.00660572479098338,-0.00289459979442955,-0.00292015615303651,-0.00328362125713602,-0.00303646337102277,-0.00524865052052429,-0.00631094499875801,0.00169771680775101,0.00748737557911779,0.00643083161747226,0.00458650364196571,0.0247268982573295,0.0273415868858386,0.000787864397245183,-0.00240914665052245
"0.1%-1%:sexM",-0.151860151693583,-0.00286104553331779,0.306496279880701,0.054830031153549,0.0165719904297304,0.0480144411105684,0.0327829610704377,0.0165274465753235,-0.01232165773018,0.000000819514325434209,0.0000000136184248179846,0.00125772893918731,-0.0212569775589715,-0.0291875346504178,0.00000000406268598722718,-0.00567543679414677,-0.0227738567538366,-0.0297382071233431,-0.0444867049730867,-0.0597119216903379,-0.000000000442876278266865,0.0189011850055964,0.0375297708472091,0.009311665428357,-0.00133917769132276,-0.0521656375943517,0.0000000000342898112219064,0.0000000000251059179827841,-0.0500778607717028,-0.000940911398205614,0.109006429045126,0.00767925533027236,0.00539306212504404,0.00942165074346782,0.0132596444540581,0.0131230136381514,-0.00459979870574779,0.0000000000637466553686534,0.00000000000102210985474011,-0.00307079456008396,-0.00793364301276702,-0.0124868724973095,-0.00618978822086866,0.000000000000000878233846939118,-0.00198100728143464,-0.0103095907335169,-0.00810616453047653,-0.0216868188922998,0.00850464709937767,-0.00352592403204235,0.000837097613579842,0.00623235289494144,0.0039483508600508,-0.00145356448158346,-0.00722120005601555,-0.0042438416266589,-0.0517930372509887,-0.00104559079416787,0.112669939778775,0.00495197262479955,0.00281787111660056,0.00818803671610375,0.0119956432335765,0.0115821134771549,-0.00703353826188896,-0.00000000000000142322500833245,-0.0118054994193255,0.000109677764581199,-0.00715142742635405,-0.0107015291179164,-0.00346482058981068,0.000267920457728875,-0.0000587749346754318,-0.00862494897706989,-0.0103636350075769,-0.0231666559399492,0.00786670514049002,0.000616562360010686,0.00522913340822337,0.00842083578296503,0.00387759694724925,-0.00350010152506156,-0.00619641247208852,-0.000922531736822093,-0.056242013669664,-0.00089031494724101,0.108687147675792,0.00465855463055275,0.00357413307795121,0.00687295246976575,0.0116927256788085,0.0132847813995356,-0.0075585362165299,-0.000000789554587359026,-0.0115924233114668,-0.0015531448746314,-0.00844194472182658,-0.0108907592404166,-0.00476488983835615,-0.000492165869861926,0.000371711245135835,-0.00827308916247109,-0.0106045215344923,-0.0224986480304632,0.00619954728903088,0.00730027888318848,0.0113873437725067,0.0155514543005751,0.00276947275533227,-0.00244080561092191,-0.00577806317928739,-0.00115088184504991
"0.1%-1%:SES2",-0.255491842147668,-0.00612043372303099,0.0548300311535769,0.860740848848189,0.493932997467498,0.508144594554651,0.48974853649789,0.0495329368447275,0.0228121534757068,0.00000141483296733273,-0.0000000312902736518009,-0.0464801747190384,-0.00694610703273432,-0.0118778049514749,0.00000000352786366254328,-0.0679409057181898,-0.027402952038164,-0.0665399704261932,-0.0283053143349266,0.0586277480329799,-0.00000000292842391622621,-0.202997587639387,-0.155514874383321,-0.149356515602881,-0.0819560638700155,-0.0602889379446211,-0.00000000108023242165257,0.000000000264701315914539,-0.0319713605394283,-0.00248825084766826,0.00882902530983864,0.29430225774688,0.122100248996904,0.114429021924902,0.113211331815342,0.0142473778570383,-0.00347948643442475,0.0000000000382024354514459,-0.00000000000438204922462727,-0.0230189868861019,-0.00572400942266705,0.011289685721099,-0.00353906483094882,0.00000000000000259787117192486,0.00319719752343814,-0.00816705937246601,-0.00600912330573022,0.0209637965124802,0.00749774317220723,-0.0428843520663741,-0.0457389124274,-0.0185274944316321,-0.0381754005163052,-0.0362656963774466,0.0138633509994596,-0.0337537875041144,-0.0322293756663421,-0.00214427927290537,0.0050684210602062,0.308915878295952,0.122210283505432,0.117265515287083,0.116487452272513,0.0134905373324356,-0.000798556919457969,0.00000000000000463995616571013,0.0357686325851212,-0.027082162870655,-0.0080107261735023,0.00959935864291358,-0.00705595478991773,-0.0155594129279758,-0.00117079181542553,-0.00941036797447813,-0.00930795034385174,0.0175716679907701,0.0113070973191431,-0.0501934271058148,-0.053414609468732,-0.0266652903479737,-0.0314051028696112,-0.0309582304006968,0.0122591312382616,-0.0364099487662902,-0.0126069828755683,-0.00218566904315855,0.00393077227729729,0.298633761344008,0.119283906880012,0.113501711916419,0.112267940969123,0.0125761377726651,-0.00092469658196145,-0.00000145780168266139,0.0360087113434149,-0.0233140111795207,-0.00715506060675716,0.0118991277880857,-0.00617567715358334,-0.0136414384866739,0.00270219655867841,-0.0054359239297969,-0.00749344426179556,0.0195456704287313,0.00962808719761761,-0.0657701081892232,-0.0709222900398153,-0.0416472266324156,-0.0324456963921448,-0.0314957229739624,0.0123680517474043,-0.0347474174298073
"0.1%-1%:SES3",-0.17842964207398,-0.00881511121909308,0.0165719904297515,0.493932997467517,0.791078529103265,0.499526050154422,0.475929628587758,0.0056345190086756,-0.00928773644365017,0.000000702667466651682,-0.0000000378532153278378,-0.0376886443458899,0.00982472543594131,-0.00430725693471882,0.00000000159555415497857,-0.0302295888173093,-0.0285685072500438,-0.0321969097378223,-0.0552641268237935,0.0458867676116784,-0.000000000713135295973703,-0.192637602120183,-0.170961688998388,-0.198078588495615,-0.0826299378167921,-0.0564741354584113,-0.00000000119050764480644,0.000000000284861838060714,-0.0268453157550418,-0.00133943671045681,0.00575712778574539,0.121031875388262,0.284529044103863,0.117764028325649,0.118086463039081,0.01476630670075,-0.0134032504581535,-0.0000000000324183435883235,-0.00000000000469135596729436,-0.0118838206619415,0.00748322730021679,0.0108211324983004,-0.0142956556878224,0.00000000000000219919540483363,-0.00908988390466853,-0.0117068077294463,0.00182649246720825,0.0168282755003521,-0.0205636522806416,-0.0510499054099521,-0.0527798274416836,-0.0535327800197042,-0.0259915870600394,-0.0216522907929794,0.0205543634239885,-0.0431428418802458,-0.030367271589353,-0.0009825314305802,0.00353042516261164,0.122792065357561,0.285857570076746,0.120135869222784,0.119123537341907,0.0123822716117851,-0.0103916222222517,0.00000000000000478899208350956,0.0443834330445044,-0.0178286936187282,0.00382209025253184,0.00486654319015114,-0.018469791254971,-0.0132708629208365,-0.0129781870805364,-0.01431333564377,-0.00657846755905233,0.0114800957618746,-0.0218433689620509,-0.0532748628354242,-0.0549730221552153,-0.0541157663045446,-0.0159040139501511,-0.014235033493341,0.0181887950732996,-0.0415859763411038,-0.0128670197164947,-0.00082921263542932,0.00272556032690803,0.118872573495425,0.277149146758,0.116121644503453,0.115526482079692,0.0122333096809342,-0.0114804362301527,-0.000000767841183185527,0.044605593555726,-0.0136917751059817,0.00648110916143124,0.00701189301475848,-0.0164837001271295,-0.0129047792465353,-0.0120003963224949,-0.0127755406475164,-0.00310865004856489,0.0134766484027697,-0.0189979619099513,-0.0706708965919099,-0.072393264295804,-0.066109785347633,-0.0171569060749941,-0.0136158836818481,0.0196695002717402,-0.0331558912458777
"0.1%-1%:SES4",-0.247503630532488,-0.00703063292227977,0.0480144411105882,0.508144594554656,0.499526050154409,0.899675963275697,0.496511701388137,0.0883839769433317,0.00568173070125332,0.00000130182487419409,-0.0000000259970477831568,-0.02157642317887,-0.00536579897991017,0.00392093304349782,0.00000000316882354794214,-0.0784574384988761,-0.0535003879108239,-0.0650110392798383,-0.0275147547220519,0.0271404643418743,-0.00000000288419042961255,-0.219652978652886,-0.181039814291093,-0.260484403043118,-0.0383510968867119,-0.0110781566126063,-0.00000000120886591417666,-0.000000000302945517107846,-0.0581507476989723,-0.000928655149223873,0.00944386083982861,0.11366460029877,0.118476104211448,0.219659883055192,0.116698717385265,0.0366708849213325,-0.00839302711876812,0.00000000004296947230512,-0.00000000000272411746567042,-0.0106196892499084,-0.00146871278335669,0.00445195749052453,-0.00790028985867608,0.0000000000000032990273241321,-0.0197944575032259,-0.014380121965011,-0.00843943386972601,0.014190494850096,-0.00308923459649213,-0.0380874630444116,-0.0386179711306221,-0.042100874632198,-0.01811268093824,-0.0107831540925055,0.0130202543306313,0.0212387681117577,-0.0628788345702315,-0.000871983193377175,0.00852708880400758,0.117086922785141,0.120123297117379,0.224420682426912,0.119541082698966,0.0324166151516495,-0.00735897653071765,0.00000000000000374563654476733,0.0283052254438523,-0.0119265248751452,-0.00418442236365434,0.00278698996752826,-0.0112879921479655,-0.0185229307940383,-0.0224330165882467,-0.0134402907002242,-0.0121758725132301,0.0151882436232448,-0.00258526847889285,-0.0382397501738858,-0.0401348088142849,-0.0395367005316025,-0.0123812596869973,-0.00435116286205915,0.0119177769492118,0.0207477572166609,-0.0474251863505744,-0.000796802085445342,0.00699760606114433,0.113412300719503,0.115998254884885,0.216358868487514,0.115156755770413,0.0302956372346474,-0.00678080607881006,-0.00000134818682328639,0.0274791711351249,-0.00995562333965824,-0.00206328211520881,0.00344001134247269,-0.00928048356265898,-0.0151595464068675,-0.021113348331608,-0.0101613792385457,-0.0106093542860401,0.0175101848198107,-0.000823691089993312,-0.050976630580736,-0.0544750417404756,-0.0528459672208705,-0.0137720856661135,-0.00468705777627092,0.0130295547588776,0.0214395081763778
"0.1%-1%:SES5",-0.357254426606424,0.0000261755090709754,0.0327829610704531,0.489748536497885,0.475929628587735,0.496511701388129,0.981808514981641,0.061594625023814,0.0233229424496668,0.00000249682411573454,-0.0000000142937286826925,-0.016299392820476,-0.0294498434144199,-0.0224260669438497,0.00000000885326560977392,-0.0651618099061582,-0.0861549435954555,-0.107076018359237,-0.0306888429982735,0.0573964109090775,-0.00000000261800422366159,-0.117280475438007,-0.120958302783304,-0.143661814064245,-0.0254218209967668,0.000445814788322878,-0.00000000110186290877245,-0.000000000153781602141378,-0.0552502167084426,-0.000805463500977327,0.0133614676498921,0.112647975873033,0.11793390580659,0.116858363973374,0.250248306548715,0.00463875150080799,-0.0137169725713961,0.000000000124818141209322,-0.0000000000025632568670654,0.00420533619105535,0.00342950018014113,0.00500069826127165,-0.021817806861694,0.00000000000000337766386462418,-0.0183806609223461,-0.0263278750395895,-0.001359408639736,0.0155792159700292,-0.0020232851743289,-0.0363135426150592,-0.0351335075938669,-0.0332514330766919,-0.0226578182728688,-0.0140616117224537,0.00605298901728404,0.00923656543771707,-0.061508009825632,-0.000632896350276497,0.012154300516106,0.116088408045531,0.118675255122888,0.119349376158269,0.258190604470108,0.00802058967029244,-0.00975180012681903,0.00000000000000303021919943628,0.0227464566533179,0.000383008810854156,0.000704300993775859,0.00151253090304237,-0.0224727738151683,-0.00612395175958303,-0.0214345122697473,-0.0308601010535458,-0.00596296828936281,0.0141408813279172,0.0039568119352364,-0.0403244097051819,-0.0399449633485799,-0.0353912817994058,-0.0143630731353874,-0.00875316132815036,0.00906312290505311,0.00969305467254689,-0.0468515455989705,-0.000678844887782573,0.0117373780335738,0.112389435983172,0.116130048168205,0.115249226353098,0.249958188593962,0.00644393299781952,-0.0109889773577448,-0.00000251383819941302,0.021368461031949,0.00238346065471351,0.0032721665946651,0.00300222295082069,-0.02180752983757,-0.00346449161931898,-0.0186914324888305,-0.0279707644565024,-0.00494112222240693,0.0153600297737184,0.000966897101543275,-0.0497540456351863,-0.0489182768996238,-0.0402707361263028,-0.0181296037405324,-0.0108393158448784,0.0080558557642406,0.0119125522659963
"0.1%-1%:ruralY",-0.28629372389514,0.0017471054774688,0.0165274465753224,0.0495329368447221,0.0056345190086587,0.0883839769433214,0.0615946250238007,0.965421448743973,0.169481467723596,0.00000195966411582079,0.0000000221442078223664,0.0138056226941361,-0.092742090207216,-0.00147211328398079,0.0000000110445889293327,-0.0543535850254835,-0.017108590029172,-0.0816333170581457,-0.0527916439119017,0.078801880914348,-0.00000000152198728013531,0.0250718987683407,0.0334335738653324,-0.0695175914183164,0.0333028351055758,0.0235356565490088,-0.000000000708176347870291,-0.000000000387047506674411,-0.0772326652408897,-0.00151442025740302,0.0141214193700874,0.0151039264101719,0.0161822459881773,0.0334497247538845,0.00225617008647739,0.598128368889174,0.0727881004678139,0.00000000014936463820152,0.00000000000208209830737756,0.0070272196413005,-0.0350095028870868,0.0151859003228951,-0.018718851674312,0.00000000000000206968730818884,0.00731980582211129,-0.042968399919609,-0.0100688366977522,0.0155006119565416,-0.0124326927979173,0.0000323132217101563,0.000447821898941311,-0.0241231939460041,-0.00861276682998884,-0.0298552492749253,0.0272388789993817,0.0144340875560183,-0.0917531811500804,-0.00157286024509413,0.012427311659655,0.0110312325866171,0.0092047276411673,0.0297584496372887,0.00509741332826187,0.614688429203687,0.0801013585459652,0.00000000000000115985973098371,-0.00558323779142015,0.00729486573859675,-0.0329824111735304,0.0119845288684315,-0.0199809887769119,-0.0063833805234154,0.0050453819375851,-0.0388847448509809,-0.0122631945783001,0.0183758093863737,-0.0052157226225343,0.00498908967134767,0.00638969058257052,-0.0209053251951873,-0.00412594273803834,-0.023484914119529,0.0272382887052687,0.0182913059265108,-0.0833363169473174,-0.00152893586294292,0.0150943279092415,0.0088974666402785,0.00924457067983694,0.0258543705627363,0.000611789754738777,0.605234450088833,0.0749656135390309,-0.00000193135609963592,-0.00436702224369163,0.00967544819079093,-0.0386305383508535,0.0125202331258532,-0.0196354778652466,-0.00490522404000429,0.00842683360444511,-0.0367385958323363,-0.00968005329988899,0.0183190562752724,-0.00650072673748344,0.00212007943427631,0.00335281142166608,-0.0222755209530726,-0.00710006994976442,-0.0253704653336296,0.0271159222440413,0.0167830190800981
"0.1%-1%:distanceshort",-0.678931440904862,0.00516913567950405,-0.0123216577302198,0.0228121534756872,-0.00928773644370738,0.005681730701211,0.0233229424496226,0.169481467723596,0.777697905856757,0.00000333037836566658,0.0000000818329994646154,-0.115189716267965,-0.0989902733884161,-0.126149482749776,0.0000000308719685500106,-0.0412882144972877,-0.107471487092904,-0.110532199266995,-0.0793135108799377,0.0454768825980367,-0.0000000013977733156099,0.0195504098855155,0.00637605468661523,0.0127192786966447,0.0262345815988633,0.0654468339399363,0.000000000441826812209359,0.000000000250338020191831,-0.485093227356026,0.000542161096292128,-0.00549030860506462,-0.00883014261012186,-0.0154103665516061,-0.00747882472792538,-0.0118337262243768,0.0747528390206897,0.567934193371208,0.000000000679870128567532,0.0000000000088978551534849,-0.0712481557808593,-0.0694628838281656,-0.0759879732723347,-0.08118368341145,0.00000000000000543327386413209,-0.0619685186920248,-0.0668439516720497,-0.0583980613880013,0.00176461212064086,-0.00426794919355217,0.0020761086788163,0.00094555968445853,0.0265746605673524,0.0118130117887065,0.01174638887528,-0.0229195782706348,-0.0144796915319394,-0.495944819838942,0.000562957821876033,-0.00636857627039588,-0.00241973870714209,-0.0127701003683318,-0.00840560739340431,-0.0112932749075273,0.0790713713453791,0.571845265522585,-0.0000000000000105659233857332,-0.0617753580771161,-0.0612940186735134,-0.0588911162546777,-0.0663873617237651,-0.071942472515566,-0.0197445964860709,-0.0501212808070709,-0.0568386662318578,-0.0489499490656437,0.00339232362058533,-0.00715191998247166,-0.00111108355070905,-0.00321633004992167,0.0260214195884311,0.011491320392437,0.0134266439594823,-0.0245402114547193,-0.0136079956714585,-0.486324737909138,0.000298720439495472,-0.00729445963376906,-0.00436256405501025,-0.0172233512750132,-0.0093636204932881,-0.0125650723236375,0.0738312009967043,0.565111658798987,-0.0000031225687287002,-0.0607108715315506,-0.0608411226073551,-0.0579554004126208,-0.0668584304060334,-0.0700357883899553,-0.0141155963293841,-0.0529112151047577,-0.0566824234221067,-0.0462107939008901,0.00259416438721574,-0.00264054291825791,-0.00318128588065081,-0.00503245663159541,0.027812337900222,0.0146690244319072,0.0119167931132286,-0.0250985902526649,-0.0140090179024217
"0.1%-1%:dxyear2003",-0.0000263456583087477,0.000000814544611325456,0.000000819514325380664,0.00000141483297249744,0.000000702667471496321,0.00000130182487950822,0.00000249682411992991,0.0000019596641147101,0.00000333037836721696,0.000000000212716882757591,0.00000000000362243259235753,-0.00000419345881970532,-0.00000382439016614901,-0.00000473991005819574,0.00000000000107003436307225,-0.00000303554328879647,-0.00000386746487296529,-0.00000330886188003644,-0.00000337624664160086,-0.00000281437185984896,0.0000000000000484645884620988,0.0000142844119923048,0.0000143771008647253,0.0000131090919146096,0.00000874064910482831,0.00000844105051089104,0.0000000000000172794205101128,0.0000000000000134175684898328,-0.00000913269596407673,0.000000253186538219277,0.000000323115963667781,0.000000265489071017032,0.0000000431474811513616,0.000000389142137534698,0.000000482798927668066,0.000000751242459907242,0.00000237113228415387,0.0000000000000296879209705278,0.000000000000000244639471895353,-0.00000143543659240671,-0.00000143410374828954,-0.0000016607009071619,-0.00000102810397689244,0.000000000000000000241324709696264,-0.000000990546796171644,-0.00000111590311063679,-0.00000146790086247876,-0.00000127446850028306,-0.0000000604538370802966,0.00000388580122827805,0.00000395224511424934,0.00000353352084649848,0.00000353379763515286,0.00000307231586944247,-0.000000290213945455117,-0.000000318891473216328,-0.00000902416510911082,0.000000251131850282954,0.000000287288922308307,0.000000194752891321,0.0000000586457769005563,0.000000305989332240566,0.000000423894991578288,0.000000797753170132381,0.00000226735178321005,-0.000000000000000000182322251851964,-0.00000302500017202296,-0.000000957132891109218,-0.000000864379997039065,-0.00000114040945807199,-0.000000577731001295981,-0.000000445575190868338,-0.000000584389252818883,-0.000000558829191398042,-0.000000870717954412075,-0.00000127156438879425,0.0000000373945525102357,0.0000034931434790027,0.00000353618049890819,0.00000326212341124768,0.00000332106878273268,0.00000293319818420754,-0.000000130829462151248,-0.000000027784123319557,-0.00000616221458813667,0.000000207446228967834,0.000000266932121354584,0.0000000461884091804605,-0.000000136412733917712,0.00000022205926419392,0.00000029706065574108,0.000000745714336972309,0.00000223056181822851,-0.000000000206059039541686,-0.0000024903320048334,-0.000000615839362530785,-0.000000546230976920565,-0.000000787854647536634,-0.000000294367933277545,-0.000000207566071074879,-0.000000253082517930622,-0.000000336854571053533,-0.000000629881175200878,-0.0000010602117148202,0.000000126748545361194,0.00000109197721435913,0.00000111020224952598,0.000000869226127324072,0.00000279601224466642,0.00000242623224529735,-0.0000000487925294405313,0.000000194013923689659
