"","(Intercept)","age_Dx","sexM","SES2","SES3","SES4","SES5","ruralY","distanceshort","dxyear2003","dxyear2004","dxyear2005","dxyear2006","dxyear2007","dxyear2008","dxyear2009","dxyear2010","dxyear2011","dxyear2012","lineageT"
"(Intercept)",0.317744692131185,-0.0029855096416525,-0.0242401107201347,-0.0619587535256072,-0.0518211129566209,-0.0498910760970927,-0.05902631361494,-0.0456627534784133,-0.0677148873655297,-0.177344480480644,-0.185474529852476,-0.181831544945911,-0.185132322848692,-0.18046929474481,-0.183573465003251,-0.180742241167763,-0.181353928822961,-0.181302156449931,-0.181597819223375,-0.0024813407967843
"age_Dx",-0.0029855096416525,0.000539157485696201,-0.000112236689386493,0.00026189282675438,-0.00056558953324892,-0.0005627999026873,-0.000350294545241274,-0.000211119417307061,-0.00000160030806576699,-0.000637085145413325,-0.000237270775778619,0.0000296375179339797,0.000729126223785953,0.00045041414787304,0.000876426270977727,0.000913818732288328,0.000941453497936497,0.000726055008296211,0.000501867410091074,-0.00144101343241877
"sexM",-0.0242401107201347,-0.000112236689386493,0.0390081190691661,0.00477118604752236,0.00621687283395618,0.0068905792172732,0.00830192801774843,0.000854291794286985,0.000027081038144944,0.000543799279981616,-0.0026838165520817,-0.00111361488445276,-0.00121863673006279,-0.0021180672140819,0.0009298910028954,-0.0027068487897094,-0.000787517585681444,0.000182620039383711,-0.0021686678237747,-0.00731115175247078
"SES2",-0.0619587535256072,0.00026189282675438,0.00477118604752236,0.117808367435825,0.0554002687906286,0.0554894263421049,0.0557181344526447,-0.000657381672983273,0.00240903406065124,-0.0115036781974936,0.00362382194963749,-0.00585842697810618,0.00589092264277805,0.00296689762907972,0.00476946674668649,-0.0000848347687517115,0.00203389123208062,-0.00151691953018464,0.000604864780676318,-0.00309775565464597
"SES3",-0.0518211129566209,-0.00056558953324892,0.00621687283395618,0.0554002687906286,0.0929525440296649,0.0571147713564965,0.0568480089376495,0.00115820939927824,0.000426207485768546,0.000952070735481655,0.000783926321860212,-0.00640585335703875,-0.000210660914066306,-0.00561888945768041,-0.0051651544114957,-0.00691799081873979,-0.0107801675478885,-0.00587236315042243,-0.00934640085437867,0.000859762168741722
"SES4",-0.0498910760970927,-0.0005627999026873,0.0068905792172732,0.0554894263421049,0.0571147713564965,0.101137675149241,0.0573784790034032,0.00269951691163912,-0.000176388012423416,-0.010238772036265,-0.00238629099241559,-0.00500861877480322,-0.00433786266177601,-0.00583188324301689,-0.00873885289008549,-0.0123806893421528,-0.0118198509681404,-0.00920734024503646,-0.00732362219438493,-0.00112650868345306
"SES5",-0.05902631361494,-0.000350294545241274,0.00830192801774843,0.0557181344526447,0.0568480089376495,0.0573784790034032,0.106639618233022,0.0036821205369792,0.00204638595903544,-0.00600278067094924,-0.00145598474798216,0.00196926996077604,0.00233810555072295,0.00100491333085655,-0.00296670697669835,-0.00582090821984943,-0.00707300935395705,-0.00342279673629979,-0.00138327802532666,-0.00176124533164778
"ruralY",-0.0456627534784133,-0.000211119417307061,0.000854291794286985,-0.000657381672983273,0.00115820939927824,0.00269951691163912,0.0036821205369792,0.153542632341852,0.0321970724625951,-0.00549902459873558,0.00618829950509139,0.0107352841420898,0.000326388448036001,0.0098913011633319,0.0024449323447171,0.0047984282345651,0.00876758014637161,0.00500690758127801,0.00757388413080953,0.00947935068764729
"distanceshort",-0.0677148873655297,-0.00000160030806576699,0.000027081038144944,0.00240903406065124,0.000426207485768546,-0.000176388012423416,0.00204638595903544,0.0321970724625951,0.0794903740128051,0.00348531331319851,0.00386301037138611,-0.000024562114813222,-0.00458150660399379,-0.00606415577138867,-0.0055390575807766,-0.00409952027736044,-0.00508640155434073,-0.00455703217921343,-0.00190567499172647,0.00154553513542364
"dxyear2003",-0.177344480480644,-0.000637085145413325,0.000543799279981616,-0.0115036781974936,0.000952070735481655,-0.010238772036265,-0.00600278067094924,-0.00549902459873558,0.00348531331319851,0.46147086283255,0.183879806308647,0.183038076446009,0.182168738897444,0.181439157089029,0.181913567102428,0.182427448983648,0.181470601955432,0.182407593477986,0.181639076743583,0.00707187876236103
