state,covariate,estimate,se,tvalue,
PRE,(Intercept),80.13933623,34.9866,2.2906,
PRE,"ns(x = interval, df = k)1",-6.828802713,0.0352,-194.2149,
PRE,"ns(x = interval, df = k)2",-11.44497478,0.0656,-174.5141,
PRE,"ns(x = interval, df = k)3",-4.149149457,0.0499,-83.1451,
PRE,sexM,0.412015075,0.0664,6.2011,
PRE,age_Dx,0.018759051,0.0095,1.9784,
PRE,dxyear,-0.035185187,0.0174,-2.0212,
PRE,lineageT,0.013912845,0.1147,0.1213,
PRE,leukemia_risk_groupstandard,-0.119178707,0.0896,-1.3307,
REL1,(Intercept),116.6241341,111.6944,1.0441,
REL1,"ns(x = interval, df = k)1",-8.379295091,0.2846,-29.4428,
REL1,"ns(x = interval, df = k)2",-10.59087048,0.4297,-24.6477,
REL1,"ns(x = interval, df = k)3",-6.281947996,0.3742,-16.789,
REL1,sexM,0.44012063,0.2737,1.6082,
REL1,age_Dx,0.00495138,0.0264,0.1874,
REL1,dxyear,-0.053025355,0.0556,-0.9545,
REL1,lineageT,-0.60779015,0.717,-0.8477,
REL2,(Intercept),10.64980888,0.4208,25.3098,
REL2,"ns(x = interval, df = k)1",-4.021125935,0.8003,-5.0248,
REL2,"ns(x = interval, df = k)2",-8.738422714,1.1347,-7.701,
REL2,"ns(x = interval, df = k)3",-5.954042395,0.6895,-8.6358,
BMT1,(Intercept),31.16657793,40.4934,0.7697,
BMT1,"ns(x = interval, df = k)1",-3.180261299,0.2491,-12.7694,
BMT1,"ns(x = interval, df = k)2",-10.67993762,0.3762,-28.3866,
BMT1,"ns(x = interval, df = k)3",-3.12804068,0.3644,-8.5832,
BMT1,dxyear,-0.010929802,0.0201,-0.5432,
BMT1,lineageT,-0.244971031,0.1336,-1.8335,
BMT1_REL,(Intercept),9.502374524,0.3165,30.0191,
BMT1_REL,"ns(x = interval, df = k)1",-2.380556199,0.5843,-4.0744,
BMT1_REL,"ns(x = interval, df = k)2",-6.974088845,0.7693,-9.0657,
BMT1_REL,"ns(x = interval, df = k)3",-6.177482601,0.5736,-10.7706,
DEAD,(Intercept),10.20466454,0.3779,27.0063,
