"","gamma0","gamma1","gamma2","gamma3","gamma4","age_Dx","I(age_Dx^2)","wbc_cat>=50","mrd>1%","mrd0.1%-1%","mrdNegative","mrdNot measured"
"gamma0",24.5222590930725,-5.95360999699462,-1.56747360211267,0.842687476343146,-0.0234099728760078,-0.137596073027842,0.00671663809071911,-0.124526621921283,-0.937207184108598,-0.952832668081344,-1.03080050011473,-1.01610555191738
"gamma1",-5.95360999699583,1.59703638038885,0.495601195801893,-0.300187591630772,0.0300591605210709,0.000507071181285975,-0.0000374289831859984,-0.00016677413275644,-0.00567842944034694,0.000798568955120685,0.00189982124778265,0.00509494516500007
"gamma2",-1.56747360211471,0.495601195802328,0.269597416729948,-0.21450903749739,0.05377429963708,0.000279298431513947,-0.0000254744582266437,-0.0000964696606235287,-0.00533598560461106,0.000263451499995808,0.000733812035440023,0.00478240055244966
"gamma3",0.842687476345069,-0.300187591631216,-0.214509037497444,0.186347200508701,-0.0554036362221064,-0.000283139508341297,0.0000230581598969903,-0.000188216167738262,0.00382893688762868,0.000269795637168104,-0.0000454542849723294,-0.00476209828694209
"gamma4",-0.023409972876623,0.0300591605212249,0.0537742996371168,-0.055403636222125,0.0213170044162151,0.000155531480184742,-0.00000977537453069485,0.000232949529711974,-0.000540460845253476,-0.000429337015948664,-0.000329514825718872,0.00201707541003397
"age_Dx",-0.137596073027808,0.00050707118127509,0.000279298431508565,-0.000283139508337157,0.000155531480183775,0.04346799671655,-0.00225410219510953,0.00199564111371493,0.00389772741561659,-0.011862215451318,0.00788543680133701,0.00617199430837704
"I(age_Dx^2)",0.00671663809071766,-0.0000374289831855172,-0.0000254744582263886,0.0000230581598967903,-0.00000977537453064659,-0.00225410219510953,0.000122199300131809,-0.0000402426057469569,-0.000754662689923668,0.000411134375705192,-0.000426197967314083,-0.000600076077572771
"wbc_cat>=50",-0.12452662192123,-0.000166774132772964,-0.000096469660632384,-0.000188216167731265,0.000232949529710249,0.00199564111371481,-0.0000402426057469492,0.279511393068213,-0.0921291561131702,0.017153852927344,0.0206644585331982,0.0263142713403588
"mrd>1%",-0.937207184108365,-0.00567842944041508,-0.00533598560464142,0.00382893688765087,-0.000540460845257971,0.0038977274156156,-0.000754662689923612,-0.0921291561131704,1.58800602623052,1.01330468427051,0.99473760117467,1.01909027455063
"mrd0.1%-1%",-0.952832668081181,0.000798568955070886,0.000263451499970637,0.000269795637187224,-0.000429337015952837,-0.011862215451319,0.000411134375705253,0.017153852927344,1.01330468427051,2.01268991186003,1.00031047851478,1.0114511037977
"mrdNegative",-1.03080050011453,0.00189982124772023,0.000733812035409039,-0.0000454542849488429,-0.000329514825724019,0.00788543680133586,-0.000426197967314018,0.0206644585331982,0.99473760117467,1.00031047851478,1.25363728707404,1.00484470081102
"mrdNot measured",-1.01610555191722,0.00509494516495033,0.00478240055242107,-0.00476209828691948,0.00201707541002859,0.00617199430837609,-0.000600076077572716,0.0263142713403589,1.01909027455063,1.0114511037977,1.00484470081102,1.13099978597107
