"","gamma0","gamma1","gamma2","gamma3","gamma4","age_Dx","I(age_Dx^2)","dxyear","lineageT","cytogenetics_catFavorable","cytogenetics_catNeutral","cytogenetics_catUnfavorable","leukemia_risk_groupstandard","cns_statusCNS2","cns_statusCNS3","mrd>1%","mrd0.1%-1%","mrdNegative","mrdNot measured","wbc_cat>=50"
"gamma0",12.8659452406498,-2.06796203255917,-1.18024437521364,1.75180420566513,-0.704969237147071,-0.0482638133617316,0.00186181340920751,-0.0283023108006315,0.161582818091486,-0.492920828564807,-0.47180443435896,-0.521341779566452,-0.271791081697051,0.0159994302824716,-0.0252637279252566,-0.291014925923229,-0.168141214207901,-0.134881121212746,-0.243670203875945,-0.318185945695251
"gamma1",-2.06796203255904,0.372859770950869,0.237230777107626,-0.364986241649228,0.152661619796294,0.0000307355674980669,-0.000016125961410417,0.0000617180794867632,-0.00256285793273417,-0.00184962751916361,-0.00146324512588838,0.00355854377778113,-0.00339971358217403,-0.00313614531607095,0.00359665795600631,0.00823225082692912,-0.000442743046799962,-0.00100225362776378,-0.00111621961531638,-0.0018414636943745
"gamma2",-1.18024437520887,0.237230777106683,0.433795812611489,-0.926638455610037,0.540490793237943,0.00180719463905754,-0.000108200758279848,-0.000583173401757273,-0.00216574276354552,-0.0111610386371134,-0.0106046042141204,-0.0126517715528924,0.000344985861644934,0.0000443901866046853,0.0000689929006642131,-0.0000183262721816702,0.00124082671519937,0.00131772440157346,0.00106800691573376,0.000407042033431807
"gamma3",1.75180420565227,-0.364986241646659,-0.926638455608976,2.12792200290893,-1.31628339123762,-0.0037109640420178,0.00021741999547771,0.00176916810718469,0.00691043968878631,0.0284410528792824,0.0265396485964037,0.0306015619953171,-0.00303575639081385,-0.00249299752722688,0.0011823074072447,-0.00100683155646807,-0.00352749043391527,-0.0022804543775251,-0.00471503085205152,-0.00417706949688943
"gamma4",-0.704969237138178,0.152661619794508,0.540490793236781,-1.31628339123646,0.850824056881402,0.00197172785164864,-0.000113715404447741,-0.00135581665967168,-0.0054949807463789,-0.0187887491303764,-0.0172745221299089,-0.0188648400758602,0.00279556380273279,0.0025680223614204,-0.00110538298647478,0.00202091984978366,0.00247202642036436,0.000854858627720252,0.004020585515041,0.00419501310386621
"age_Dx",-0.0482638133616027,0.00003073556747308,0.00180719463901193,-0.00371096404191943,0.0019717278515907,0.0137889588952175,-0.000851762684090118,0.000351195811087027,-0.0102708962802182,0.0140246963109074,0.0129507625523559,0.0230119144984822,-0.00851181479003156,0.00581697141602498,0.00360026114866335,0.00659230262059584,0.00274219081509786,0.0043176575481034,0.00621629608223148,-0.00362067149038226
"I(age_Dx^2)",0.00186181340919996,-0.0000161259614089587,-0.00010820075827715,0.000217419995471883,-0.000113715404444306,-0.000851762684090112,0.0000588607100574224,-0.0000170502875085781,0.000505599179466579,-0.000759693421802154,-0.000731241969280647,-0.0015889552434634,0.00149759586813039,-0.000355148824857023,-0.000449080445925414,-0.000508635590581107,-0.000222853549617516,-0.000201855408456252,-0.000343337116829621,0.00105348135733842
"dxyear",-0.0283023108006552,0.0000617180794914251,-0.000583173401751896,0.00176916810717507,-0.00135581665966703,0.0003511958110871,-0.0000170502875085833,0.00302517313129186,-0.00342533548003176,0.00767495565840466,0.00598370698854756,0.00701682422180257,0.000936603797165246,-0.00172500750625741,0.000497597780382444,-0.000395766613457907,-0.0010384908074569,-0.00247598362973384,0.00805006337847428,0.00180407825749631
"lineageT",0.161582818091333,-0.00256285793270269,-0.00216574276348023,0.00691043968864271,-0.00549498074629308,-0.0102708962802188,0.000505599179466619,-0.00342533548003177,0.23255808415744,-0.0452984411913642,-0.0690757458570085,-0.0588761414967939,-0.0190451787554715,0.00462317094278326,-0.0166187002364906,-0.0444489339032827,-0.0443838865208139,-0.0183007455804954,-0.0262151244165096,-0.0547466445509282
"cytogenetics_catFavorable",-0.492920828564813,-0.00184962751916406,-0.0111610386371955,0.0284410528795085,-0.0187887491305344,0.0140246963109075,-0.000759693421802173,0.00767495565840483,-0.045298441191362,0.494074504372507,0.4223724503878,0.427173319240777,-0.0191462127862413,-0.00604878759007021,-0.0229324710532067,0.0778153174179085,-0.0122762307580937,-0.0288390254541888,0.0145871603144029,0.0346952697485233
"cytogenetics_catNeutral",-0.471804434358936,-0.00146324512589484,-0.0106046042142117,0.0265396485966483,-0.0172745221300771,0.012950762552356,-0.000731241969280663,0.00598370698854775,-0.0690757458570064,0.4223724503878,0.444742214940785,0.418685649536908,-0.00676019765941796,-0.0119647350790315,-0.0229297564094815,0.0637151357058805,-0.00134527489026332,-0.0265979579263301,-0.000357126293132838,0.0376348254117566
"cytogenetics_catUnfavorable",-0.521341779566378,0.00355854377776491,-0.0126517715530182,0.0306015619956455,-0.0188648400760824,0.0230119144984819,-0.0015889552434634,0.00701682422180272,-0.0588761414967907,0.427173319240776,0.418685649536907,0.554241801166788,-0.048665302269151,-0.0255901211536002,-0.0243683968239618,0.116865171337672,0.0197888008497072,0.00133372651815248,0.0357107906091169,-0.00986463635339105
"leukemia_risk_groupstandard",-0.271791081697059,-0.00339971358217566,0.00034498586162754,-0.00303575639077057,0.00279556380270466,-0.00851181479002995,0.00149759586813029,0.000936603797165467,-0.019045178755473,-0.0191462127862371,-0.00676019765941392,-0.0486653022691454,0.33681803122128,-0.0020869033514411,-0.03679473739787,-0.0152975517550173,0.00183094669893541,0.00263348227578487,0.0032277407066436,0.27570202901895
"cns_statusCNS2",0.0159994302825572,-0.00313614531608802,0.0000443901865712932,-0.00249299752715448,0.00256802236137766,0.00581697141602479,-0.000355148824857014,-0.0017250075062574,0.00462317094278359,-0.00604878759006981,-0.0119647350790311,-0.0255901211535997,-0.00208690335144154,0.118484687225739,0.0309581596430995,-0.015290735535,0.0115837977753828,-0.0125563315794494,-0.00996891079080567,-0.0136732818354237
"cns_statusCNS3",-0.0252637279252591,0.00359665795600719,0.0000689929006630862,0.00118230740724883,-0.00110538298647808,0.00360026114866317,-0.000449080445925404,0.000497597780382393,-0.0166187002364902,-0.0229324710532075,-0.0229297564094822,-0.0243683968239626,-0.0367947373978706,0.0309581596430995,0.22951571146619,0.0596678542649179,0.0666466407580834,0.0377780527758172,0.0526039852060747,-0.0552927218675646
"mrd>1%",-0.291014925923089,0.0082322508268999,-0.0000183262722615085,-0.00100683155628197,0.00202091984966721,0.00659230262059631,-0.000508635590581142,-0.000395766613457848,-0.0444489339032823,0.0778153174179106,0.0637151357058825,0.116865171337675,-0.0152975517550193,-0.0152907355349999,0.0596678542649182,0.401970140032801,0.173775136050335,0.165260503372463,0.16999298497079,-0.00980955804884097
"mrd0.1%-1%",-0.168141214207785,-0.000442743046824156,0.00124082671514449,-0.00352749043379171,0.00247202642028907,0.00274219081509833,-0.000222853549617548,-0.00103849080745685,-0.0443838865208138,-0.0122762307580918,-0.00134527489026148,0.0197888008497098,0.00183094669893434,0.011583797775383,0.0666466407580836,0.173775136050335,0.380438030842298,0.165249500419698,0.164491074247417,0.0132150586167697
"mrdNegative",-0.13488112121266,-0.00100225362778132,0.00131772440153388,-0.00228045437743588,0.000854858627665809,0.00431765754810375,-0.000201855408456277,-0.00247598362973383,-0.0183007455804953,-0.0288390254541878,-0.0265979579263292,0.00133372651815405,0.00263348227578381,-0.0125563315794493,0.0377780527758174,0.165260503372463,0.165249500419698,0.197380047042373,0.158946313644429,0.00673795493669941
"mrdNot measured",-0.243670203875812,-0.00111621961534439,0.00106800691566628,-0.00471503085189844,0.00402058551494723,0.0062162960822323,-0.000343337116829677,0.00805006337847434,-0.0262151244165097,0.0145871603144055,-0.000357126293130312,0.0357107906091207,0.00322774070664186,-0.00996891079080542,0.0526039852060751,0.169992984970791,0.164491074247417,0.158946313644429,0.261564846420919,0.0105460373563702
"wbc_cat>=50",-0.318185945695174,-0.00184146369439275,0.00040704203338214,-0.00417706949677478,0.00419501310379508,-0.00362067149038065,0.00105348135733832,0.00180407825749653,-0.0547466445509295,0.0346952697485279,0.0376348254117611,-0.00986463635338481,0.275702029018949,-0.0136732818354232,-0.0552927218675639,-0.00980955804883919,0.0132150586167705,0.00673795493670031,0.0105460373563715,0.307916285719537
