"","gamma0","gamma1","gamma2","gamma3","gamma4","age_Dx","I(age_Dx^2)","lineageT","cytogenetics_catFavorable","cytogenetics_catNeutral","cytogenetics_catUnfavorable","REL1.t"
"gamma0",8.86108564609067,-1.6888328747286,11.4752550816807,-22.5110712628186,11.1082250555401,-0.0812192479024792,0.00411810967651366,-0.541443912750555,-0.309346780394242,-0.324438355242376,-0.453783186851908,-0.0000404180560426152
"gamma1",-1.68883287470071,0.438363369927985,1.15360831729278,-1.71905921109144,0.594173812026625,0.000337481424970184,-0.000000348035156843914,-0.00338878270440183,-0.00288122995643618,-0.00235056322664889,0.00132098814982379,0.000000702717370965755
"gamma2",11.4752550821472,1.15360831691994,174.854165289847,-328.672455474645,157.233927746562,-0.168295339733553,0.0078971865136016,-3.34397914477952,-0.614971978378954,-0.273990669415822,-0.399566044061493,-0.0000753214339056541
"gamma3",-22.5110712633922,-1.71905921036412,-328.672455470227,621.656165577614,-299.873749768567,0.357694604575993,-0.0168921437671942,5.85452691799811,1.28869530452654,0.616811138172509,0.938164656440982,0.000153132690897101
"gamma4",11.1082250556227,0.594173811660698,157.233927741583,-299.87374976318,146.248123584146,-0.198098996383908,0.00941752641190993,-2.51311250387223,-0.703300339951943,-0.361949099884478,-0.571565796878301,-0.0000808001637817847
"age_Dx",-0.0812192478996591,0.000337481425653385,-0.168295339683904,0.357694604486905,-0.198098996344039,0.023404859512102,-0.00129197847748601,0.0191689657187828,0.0160027020838939,0.00785294347765513,0.0416200883237641,0.000000368149575870762
"I(age_Dx^2)",0.00411810967636713,-0.00000034803518873395,0.00789718651112869,-0.0168921437627444,0.00941752640991014,-0.00129197847748586,0.0000768735645352903,-0.000618126411284553,-0.000985762375085322,-0.000778510457897594,-0.00257806884777652,0.000000029156094521528
"lineageT",-0.541443912794324,-0.00338878270048427,-3.34397914529769,5.85452691905689,-2.51311250443371,0.019168965720236,-0.000618126411355487,0.603463499138076,-0.0640920785007511,-0.0985597891040295,0.00250416974519384,0.0000245125025921351
"cytogenetics_catFavorable",-0.30934678038518,-0.00288122995410069,-0.614971978218252,1.28869530424001,-0.703300339824952,0.016002702083914,-0.000985762375086767,-0.0640920785056519,0.628048206274854,0.354938964394809,0.355761526670982,-0.0000460374232247427
"cytogenetics_catNeutral",-0.324438355234651,-0.00235056322525995,-0.273990669289141,0.616811137941312,-0.361949099778374,0.00785294347761019,-0.000778510457895705,-0.0985597891072743,0.354938964394614,0.429306410927428,0.369664701471267,-0.00000286138464146068
"cytogenetics_catUnfavorable",-0.453783186837796,0.00132098815211358,-0.399566043834287,0.93816465602399,-0.571565796685369,0.0416200883236593,-0.00257806884777195,0.00250416973964529,0.35576152667055,0.369664701471202,0.679339106927931,0.00000592810267945773
"REL1.t",-0.0000404180560418645,0.00000070271737120809,-0.0000753214338918224,0.000153132690873007,-0.0000808001637714959,0.000000368149575878932,0.0000000291560945210802,0.0000245125025916443,-0.0000460374232247227,-0.00000286138464142798,0.00000592810267952367,0.0000000204600731853642
