transition,knots
model_PRE_REL1,4.077537444
model_PRE_REL1,6.47317037
model_PRE_REL1,6.947456646
model_PRE_REL1,7.269194185
model_PRE_REL1,8.315321775
model_PRE_BMT1,NA
model_PRE_DEAD,2.708050201
model_PRE_DEAD,3.891820298
model_PRE_DEAD,4.9698133
model_PRE_DEAD,6.309008774
model_PRE_DEAD,8.145839613
model_REL1_REL2,2.197224577
model_REL1_REL2,4.193941301
model_REL1_REL2,5.99048703
model_REL1_REL2,6.562792477
model_REL1_REL2,7.452402451
model_REL1_BMT1,2.442347035
model_REL1_BMT1,4.770684624
model_REL1_BMT1,4.927253685
model_REL1_BMT1,5.09681299
model_REL1_BMT1,5.880532986
model_REL1_DEAD,NA
model_REL2_BMT1,NA
model_REL2_DEAD,3.931825633
model_REL2_DEAD,4.090160437
model_REL2_DEAD,4.248495242
model_REL2_DEAD,5.408286577
model_REL2_DEAD,6.568077911
model_BMT1_BMT1_REL,4.304065093
model_BMT1_BMT1_REL,4.933204272
model_BMT1_BMT1_REL,5.505331536
model_BMT1_BMT1_REL,6.250556291
model_BMT1_BMT1_REL,8.135346949
model_BMT1_DEAD,3.951243719
model_BMT1_DEAD,4.25458051
model_BMT1_DEAD,4.564348191
model_BMT1_DEAD,5.158857083
model_BMT1_DEAD,7.186144305
model_BMT1_REL_DEAD,3.258096538
model_BMT1_REL_DEAD,3.765789114
model_BMT1_REL_DEAD,4.600145018
model_BMT1_REL_DEAD,5.720454228
model_BMT1_REL_DEAD,6.642486801
