transition,model,covariate,estimate,SE,pvalue
model_PRE_REL1,Spline,gamma0,-13.38402871,3.586913052,0
model_PRE_REL1,Spline,gamma1,1.646468836,0.610622446,0.007
model_PRE_REL1,Spline,gamma2,0.265377786,0.658631773,0.687
model_PRE_REL1,Spline,gamma3,-1.372603966,1.458739868,0.347
model_PRE_REL1,Spline,gamma4,1.415283274,0.922401245,0.125
model_PRE_REL1,Spline,age_Dx,0.046984949,0.117426398,0.689
model_PRE_REL1,Spline,I(age_Dx^2),-0.005035483,0.007672073,0.512
model_PRE_REL1,Spline,dxyear,0.009622215,0.055001574,0.861
model_PRE_REL1,Spline,lineageT,-1.004804465,0.482242765,0.037
model_PRE_REL1,Spline,cytogenetics_catFavorable,-1.257287029,0.702904335,0.074
model_PRE_REL1,Spline,cytogenetics_catNeutral,-0.280724988,0.666889957,0.674
model_PRE_REL1,Spline,cytogenetics_catUnfavorable,0.542281502,0.744474178,0.466
model_PRE_REL1,Spline,leukemia_risk_groupstandard,0.050444118,0.58036026,0.931
model_PRE_REL1,Spline,cns_statusCNS2,0.563870456,0.344216047,0.101
model_PRE_REL1,Spline,cns_statusCNS3,0.90417233,0.479077981,0.059
model_PRE_REL1,Spline,mrd>1%,0.466159361,0.634011151,0.462
model_PRE_REL1,Spline,mrd0.1%-1%,0.713447159,0.616796588,0.247
model_PRE_REL1,Spline,mrdNegative,-0.747851865,0.444274743,0.092
model_PRE_REL1,Spline,mrdNot measured,-0.427515322,0.511434108,0.403
model_PRE_REL1,Spline,wbc_cat>=50,0.946433035,0.554902051,0.088
model_PRE_BMT1,LogNormal.c,theta,0.963067094,0.189240188,0
model_PRE_BMT1,LogNormal.c,meanlog,5.018022639,0.072303707,0
model_PRE_BMT1,LogNormal.c,sdlog,0.389149153,0.13153916,0.003
model_PRE_DEAD,Spline,gamma0,-11.92454665,4.951995466,0.016
model_PRE_DEAD,Spline,gamma1,1.324614811,1.263739048,0.295
model_PRE_DEAD,Spline,gamma2,-0.324942463,0.519227712,0.531
model_PRE_DEAD,Spline,gamma3,0.415438216,0.431679511,0.336
model_PRE_DEAD,Spline,gamma4,-0.147210952,0.14600344,0.313
model_PRE_DEAD,Spline,age_Dx,-0.123587725,0.2084898,0.553
model_PRE_DEAD,Spline,I(age_Dx^2),0.01229083,0.011054379,0.266
model_PRE_DEAD,Spline,wbc_cat>=50,0.834502159,0.52868837,0.114
model_PRE_DEAD,Spline,mrd>1%,0.561088563,1.260161111,0.656
model_PRE_DEAD,Spline,mrd0.1%-1%,0.24382932,1.418693029,0.864
model_PRE_DEAD,Spline,mrdNegative,-1.065769191,1.119659451,0.341
model_PRE_DEAD,Spline,mrdNot measured,0.591157147,1.063484737,0.578
model_REL1_REL2,Spline,gamma0,-6.678652028,3.441774982,0.052
model_REL1_REL2,Spline,gamma1,1.73146619,0.858065346,0.044
model_REL1_REL2,Spline,gamma2,0.372812853,0.206406572,0.071
model_REL1_REL2,Spline,gamma3,-1.709096168,0.737198486,0.02
model_REL1_REL2,Spline,gamma4,1.941817011,0.81854629,0.018
model_REL1_REL2,Spline,age_Dx,-0.324917316,0.272360956,0.233
model_REL1_REL2,Spline,I(age_Dx^2),0.012583925,0.019180499,0.512
model_REL1_REL2,Spline,lineageT,2.143407147,1.016981798,0.035
model_REL1_REL2,Spline,cytogenetics_catFavorable,-1.050922422,1.163560433,0.366
model_REL1_REL2,Spline,cytogenetics_catNeutral,-1.437690976,1.185542532,0.225
model_REL1_REL2,Spline,cytogenetics_catUnfavorable,-1.232904924,1.360804678,0.365
model_REL1_REL2,Spline,REL1.t,-0.000959588,0.000386318,0.013
model_REL1_BMT1,Spline,gamma0,-7.977279643,2.976757573,0.007
model_REL1_BMT1,Spline,gamma1,0.669880755,0.662090152,0.312
model_REL1_BMT1,Spline,gamma2,-32.58610982,13.22324337,0.014
model_REL1_BMT1,Spline,gamma3,53.42598542,24.93303362,0.032
model_REL1_BMT1,Spline,gamma4,-20.26452136,12.09330904,0.094
model_REL1_BMT1,Spline,age_Dx,-0.263078977,0.152986468,0.086
model_REL1_BMT1,Spline,I(age_Dx^2),0.016081003,0.008767757,0.067
model_REL1_BMT1,Spline,lineageT,2.973762438,0.776829131,0
model_REL1_BMT1,Spline,cytogenetics_catFavorable,-1.259218958,0.792494925,0.112
model_REL1_BMT1,Spline,cytogenetics_catNeutral,-0.719916505,0.655214782,0.272
model_REL1_BMT1,Spline,cytogenetics_catUnfavorable,-1.37292496,0.824220302,0.096
model_REL1_BMT1,Spline,REL1.t,4.19E-05,0.000143039,0.77
model_REL1_DEAD,Gompertz.c,theta,0.883430551,0.451498286,0.05
model_REL1_DEAD,Gompertz.c,shape,0.015727981,0.008926181,0.078
model_REL1_DEAD,Gompertz.c,rate,0.001756869,1.070753042,0.999
model_REL2_BMT1,Weibull.c,theta,0.340475914,0.651789082,0.601
model_REL2_BMT1,Weibull.c,shape,2.74939346,0.284456745,0
model_REL2_BMT1,Weibull.c,scale,137.5870369,0.139819153,0
model_REL2_DEAD,Exponential.c,theta,0.431085854,1.161651911,0.711
model_REL2_DEAD,Exponential.c,rate,0.001858341,0.674235812,0.998
model_BMT1_BMT1_REL,Spline,gamma0,-17.58119039,5.925145796,0.003
model_BMT1_BMT1_REL,Spline,gamma1,3.137369408,1.22292239,0.01
model_BMT1_BMT1_REL,Spline,gamma2,1.828618594,1.61099566,0.256
model_BMT1_BMT1_REL,Spline,gamma3,-0.793633643,1.197846876,0.508
model_BMT1_BMT1_REL,Spline,gamma4,-0.047903297,0.304726395,0.875
model_BMT1_DEAD,LogNormal.c,theta,0.88381302,0.411346049,0.032
model_BMT1_DEAD,LogNormal.c,meanlog,5.095370225,0.454168947,0
model_BMT1_DEAD,LogNormal.c,sdlog,1.108186786,0.301898963,0
model_BMT1_REL_DEAD,Exponential.c,theta,0.23256322,0.604320714,0.7
model_BMT1_REL_DEAD,Exponential.c,rate,0.004133698,0.295826168,0.989
