"Metric","Chemotherapy.only","Blinatumomab.and.chemotherapy","Incremental","discount","scenario","WTP","prop"
"Costs","354637.54 (308314.91, 405179.80)","398316.49 (356923.32, 455526.99)","43678.95 (22531.82, 66051.26)","discounted","base_case",50000,0.851851851851852
"QALYs","32.64 (30.72, 34.49)","34.07 (32.18, 35.71)","1.43 (0.74, 2.30)","discounted","base_case",50000,0.851851851851852
"ICER","","","30447.23","discounted","base_case",50000,0.851851851851852
"Costs","405305.31 (349381.10, 479498.95)","448796.51 (391739.84, 528987.76)","43491.20 (20391.64, 71408.66)","undiscounted","base_case",50000,0.969072164948454
"QALYs","52.73 (49.43, 56.01)","55.17 (51.84, 58.07)","2.44 (1.21, 3.92)","undiscounted","base_case",50000,0.969072164948454
"ICER","","","17844.57","undiscounted","base_case",50000,0.969072164948454
"Costs","352706.39 (306809.30, 402866.56)","389065.86 (348188.08, 446137.38)","36359.47 (15519.72, 58280.41)","discounted","blina_cost_low",50000,0.911522633744856
"QALYs","32.64 (30.72, 34.49)","34.07 (32.18, 35.71)","1.43 (0.74, 2.30)","discounted","blina_cost_low",50000,0.911522633744856
"ICER","","","25345.05","discounted","blina_cost_low",50000,0.911522633744856
"Costs","356568.08 (309926.58, 407450.86)","407568.13 (365885.83, 465484.92)","51000.05 (29523.17, 73575.76)","discounted","blina_cost_high",50000,0.769547325102881
"QALYs","32.64 (30.72, 34.49)","34.07 (32.18, 35.71)","1.43 (0.74, 2.30)","discounted","blina_cost_high",50000,0.769547325102881
"ICER","","","35550.54","discounted","blina_cost_high",50000,0.769547325102881
"Costs","354831.25 (308480.91, 405405.80)","399431.02 (358054.95, 456633.31)","44599.77 (23451.70, 66988.68)","discounted","ivig",50000,0.84156378600823
"QALYs","32.64 (30.72, 34.49)","34.07 (32.18, 35.71)","1.43 (0.74, 2.30)","discounted","ivig",50000,0.84156378600823
"ICER","","","31088.75","discounted","ivig",50000,0.84156378600823
