"blina","bsc","risk_ratio","time"
"13.65 (5.69, 23.12)","23.01 (15.09, 31.8)","0.59 (0.32, 0.79)","relapse_any"
"11.96 (6.86, 19.55)","18.17 (12.68, 25.53)","0.66 (0.46, 0.85)","bmt_any"
"1.86 (0.85, 4.51)","3.09 (1.65, 6.01)","0.61 (0.36, 0.96)","relapse_1yr"
"3.33 (1.59, 6.62)","6.93 (4.26, 10.94)","0.46 (0.28, 0.76)","relapse_2yr"
"4.38 (2.2, 8.22)","10.62 (7.16, 15.83)","0.4 (0.24, 0.69)","relapse_3yr"
"5.22 (2.74, 9.6)","14.13 (9.73, 19.54)","0.36 (0.22, 0.63)","relapse_4yr"
"5.73 (3.11, 10.58)","16.35 (11.38, 22.27)","0.35 (0.21, 0.6)","relapse_5yr"
"6.33 (3.46, 11.37)","17.71 (12.33, 23.8)","0.36 (0.23, 0.6)","relapse_6yr"
"6.89 (3.85, 11.97)","18.44 (12.91, 24.75)","0.37 (0.25, 0.61)","relapse_7yr"
"7.42 (4.19, 12.39)","18.95 (13.21, 25.4)","0.39 (0.27, 0.62)","relapse_8yr"
"7.85 (4.39, 12.9)","19.29 (13.46, 25.9)","0.4 (0.28, 0.64)","relapse_9yr"
"8.21 (4.49, 13.39)","19.54 (13.69, 26.18)","0.42 (0.29, 0.65)","relapse_10yr"
"4.01 (2.83, 5.6)","4.14 (2.91, 5.79)","0.97 (0.9, 1.03)","bmt_1yr"
"4.94 (3.47, 6.74)","6.12 (4.23, 8.21)","0.81 (0.68, 0.93)","bmt_2yr"
"5.65 (3.98, 8.02)","8.19 (5.8, 11.15)","0.7 (0.56, 0.86)","bmt_3yr"
"6.28 (4.36, 9.02)","10.3 (7.29, 13.89)","0.61 (0.48, 0.8)","bmt_4yr"
"6.72 (4.66, 9.69)","11.96 (8.52, 16.12)","0.56 (0.44, 0.75)","bmt_5yr"
"7.14 (4.87, 10.24)","13.05 (9.39, 17.58)","0.54 (0.43, 0.73)","bmt_6yr"
"7.5 (5.15, 10.83)","13.77 (9.96, 18.46)","0.54 (0.43, 0.73)","bmt_7yr"
"7.83 (5.43, 11.24)","14.23 (10.37, 19.02)","0.54 (0.43, 0.73)","bmt_8yr"
"8.11 (5.66, 11.64)","14.54 (10.63, 19.41)","0.55 (0.44, 0.74)","bmt_9yr"
"8.3 (5.73, 11.95)","14.76 (10.77, 19.57)","0.56 (0.45, 0.74)","bmt_10yr"
"2.9 (1.71, 5.08)","2.94 (1.75, 5.17)","0.99 (0.96, 1.01)","death_1yr"
"4.24 (2.76, 6.96)","4.58 (3, 7.45)","0.94 (0.85, 0.99)","death_2yr"
"5.13 (3.45, 8.08)","5.95 (4.14, 9.04)","0.87 (0.76, 0.95)","death_3yr"
"5.77 (4.05, 8.84)","7.21 (5.23, 10.51)","0.8 (0.68, 0.91)","death_4yr"
"6.28 (4.47, 9.46)","8.43 (6.12, 11.87)","0.75 (0.63, 0.87)","death_5yr"
"6.72 (4.74, 10.04)","9.39 (6.78, 13.32)","0.72 (0.59, 0.85)","death_6yr"
"7.11 (5.02, 10.37)","10.19 (7.4, 14.23)","0.7 (0.58, 0.84)","death_7yr"
"7.44 (5.3, 10.66)","10.73 (7.82, 15)","0.7 (0.58, 0.83)","death_8yr"
"7.7 (5.59, 11.08)","11.18 (8.13, 15.55)","0.7 (0.58, 0.83)","death_9yr"
"7.95 (5.8, 11.52)","11.55 (8.43, 15.91)","0.7 (0.58, 0.83)","death_10yr"
