"Metric","Chemotherapy.only","Blinatumomab.and.chemotherapy","Incremental","discount","scenario","WTP","prop"
"Costs","345378.46 (302075.92, 393055.85)","392935.66 (354466.69, 447049.21)","47557.20 (28296.08, 68304.31)","discounted","base_case",50000,0.878600823045268
"QALYs","32.38 (30.48, 34.22)","33.95 (32.10, 35.65)","1.57 (0.81, 2.45)","discounted","base_case",50000,0.878600823045268
"ICER","","","30326.34","discounted","base_case",50000,0.878600823045268
"Costs","394485.37 (340799.84, 469266.32)","441837.65 (388568.97, 515771.58)","47352.28 (25883.67, 73400.41)","undiscounted","base_case",50000,0.975257731958763
"QALYs","52.32 (49.09, 55.50)","54.98 (51.73, 57.98)","2.66 (1.31, 4.20)","undiscounted","base_case",50000,0.975257731958763
"ICER","","","17803.72","undiscounted","base_case",50000,0.975257731958763
"Costs","333592.32 (292351.27, 380042.72)","377918.70 (342941.12, 429740.06)","44326.38 (26002.04, 63026.27)","discounted","blina_cost_low",50000,0.903490759753593
"QALYs","32.39 (30.48, 34.22)","33.96 (32.10, 35.65)","1.57 (0.81, 2.45)","discounted","blina_cost_low",50000,0.903490759753593
"ICER","","","28277.32","discounted","blina_cost_low",50000,0.903490759753593
"Costs","333592.32 (292351.27, 380042.72)","394182.33 (359227.36, 446021.18)","60590.01 (42306.49, 79296.43)","discounted","blina_cost_high",50000,0.735112936344969
"QALYs","32.39 (30.48, 34.22)","33.96 (32.10, 35.65)","1.57 (0.81, 2.45)","discounted","blina_cost_high",50000,0.735112936344969
"ICER","","","38652.45","discounted","blina_cost_high",50000,0.735112936344969
"Costs","333592.32 (292351.27, 380042.72)","387067.62 (352085.08, 438852.37)","53475.30 (35243.82, 72258.23)","discounted","ivig",50000,0.827515400410678
"QALYs","32.39 (30.48, 34.22)","33.96 (32.10, 35.65)","1.57 (0.81, 2.45)","discounted","ivig",50000,0.827515400410678
"ICER","","","34113.37","discounted","ivig",50000,0.827515400410678
