"blina","bsc","risk_ratio","time"
"13.65 (5.69, 23.12)","23.01 (15.09, 31.8)","0.59 (0.32, 0.79)","relapse_any"
"11.8 (6.86, 19.33)","17.96 (12.62, 25.1)","0.66 (0.46, 0.85)","bmt_any"
"1.86 (0.85, 4.51)","3.09 (1.65, 6.01)","0.61 (0.36, 0.96)","relapse_1yr"
"3.33 (1.59, 6.62)","6.93 (4.26, 10.94)","0.46 (0.28, 0.76)","relapse_2yr"
"4.38 (2.2, 8.22)","10.62 (7.16, 15.83)","0.4 (0.24, 0.69)","relapse_3yr"
"5.22 (2.74, 9.6)","14.13 (9.73, 19.54)","0.36 (0.22, 0.63)","relapse_4yr"
"5.73 (3.11, 10.58)","16.35 (11.38, 22.27)","0.35 (0.21, 0.6)","relapse_5yr"
"6.33 (3.46, 11.37)","17.71 (12.33, 23.8)","0.36 (0.23, 0.6)","relapse_6yr"
"6.89 (3.85, 11.97)","18.44 (12.91, 24.75)","0.37 (0.25, 0.61)","relapse_7yr"
"7.42 (4.19, 12.39)","18.95 (13.21, 25.4)","0.39 (0.27, 0.62)","relapse_8yr"
"7.85 (4.39, 12.9)","19.29 (13.46, 25.9)","0.4 (0.28, 0.64)","relapse_9yr"
"8.21 (4.49, 13.39)","19.54 (13.69, 26.18)","0.42 (0.29, 0.65)","relapse_10yr"
"4.02 (2.82, 5.59)","4.13 (2.9, 5.79)","0.97 (0.91, 1.03)","bmt_1yr"
"4.95 (3.48, 6.74)","6.11 (4.23, 8.16)","0.81 (0.68, 0.93)","bmt_2yr"
"5.66 (3.99, 8.04)","8.17 (5.76, 11.19)","0.7 (0.56, 0.86)","bmt_3yr"
"6.28 (4.36, 8.98)","10.28 (7.29, 13.83)","0.61 (0.48, 0.8)","bmt_4yr"
"6.72 (4.69, 9.62)","11.94 (8.47, 16.03)","0.56 (0.44, 0.75)","bmt_5yr"
"7.12 (4.91, 10.21)","13.02 (9.33, 17.52)","0.54 (0.43, 0.73)","bmt_6yr"
"7.48 (5.22, 10.79)","13.8 (9.9, 18.52)","0.54 (0.43, 0.73)","bmt_7yr"
"7.78 (5.44, 11.24)","14.22 (10.28, 19.01)","0.54 (0.43, 0.73)","bmt_8yr"
"8.09 (5.63, 11.61)","14.51 (10.54, 19.4)","0.55 (0.44, 0.74)","bmt_9yr"
"8.28 (5.69, 11.97)","14.75 (10.71, 19.76)","0.56 (0.45, 0.74)","bmt_10yr"
"2.94 (1.77, 5.11)","2.97 (1.79, 5.22)","0.99 (0.95, 1.01)","death_1yr"
"4.35 (2.84, 7.08)","4.75 (3.13, 7.56)","0.92 (0.83, 0.98)","death_2yr"
"5.29 (3.56, 8.22)","6.22 (4.4, 9.27)","0.85 (0.72, 0.94)","death_3yr"
"5.91 (4.22, 9.01)","7.67 (5.61, 10.9)","0.78 (0.65, 0.9)","death_4yr"
"6.46 (4.58, 9.58)","9.01 (6.64, 12.53)","0.73 (0.6, 0.86)","death_5yr"
"6.93 (4.95, 10.14)","10.07 (7.4, 13.79)","0.7 (0.57, 0.84)","death_6yr"
"7.33 (5.25, 10.55)","10.85 (7.99, 14.69)","0.69 (0.56, 0.83)","death_7yr"
"7.64 (5.57, 11.06)","11.43 (8.39, 15.47)","0.68 (0.55, 0.82)","death_8yr"
"7.98 (5.85, 11.49)","11.89 (8.73, 16)","0.68 (0.56, 0.82)","death_9yr"
"8.25 (6.04, 11.9)","12.25 (8.97, 16.47)","0.68 (0.56, 0.82)","death_10yr"
