"est","lcl","ucl","years","arm","outcome","est_chr"
0.97025,0.947795,0.9820575,1,"BSC","OS","97.02 (94.78, 98.21)"
0.970566666666667,0.9489475,0.982333333333333,1,"Blina","OS","97.06 (94.89, 98.23)"
0.9525,0.924435,0.968706666666667,2,"BSC","OS","95.25 (92.44, 96.87)"
0.95645,0.929179166666667,0.971635,2,"Blina","OS","95.64 (92.92, 97.16)"
0.937766666666667,0.907331666666666,0.9560175,3,"BSC","OS","93.78 (90.73, 95.6)"
0.947116666666667,0.917849166666667,0.964369166666667,3,"Blina","OS","94.71 (91.78, 96.44)"
0.923333333333333,0.890953333333333,0.9438575,4,"BSC","OS","92.33 (89.1, 94.39)"
0.940866666666667,0.909854166666667,0.957801666666667,4,"Blina","OS","94.09 (90.99, 95.78)"
0.909933333333333,0.874725833333333,0.933638333333333,5,"BSC","OS","90.99 (87.47, 93.36)"
0.935433333333333,0.904215833333333,0.95418,5,"Blina","OS","93.54 (90.42, 95.42)"
0.899316666666667,0.86211,0.9259525,6,"BSC","OS","89.93 (86.21, 92.6)"
0.930650000000001,0.898579166666666,0.950528333333333,6,"Blina","OS","93.07 (89.86, 95.05)"
0.891516666666667,0.8531325,0.920078333333333,7,"BSC","OS","89.15 (85.31, 92.01)"
0.926666666666667,0.894496666666666,0.947465833333333,7,"Blina","OS","92.67 (89.45, 94.75)"
0.885733333333333,0.84533,0.9161275,8,"BSC","OS","88.57 (84.53, 91.61)"
0.923583333333333,0.889420833333333,0.944323333333333,8,"Blina","OS","92.36 (88.94, 94.43)"
0.88105,0.840045,0.912736666666667,9,"BSC","OS","88.11 (84, 91.27)"
0.92015,0.885103333333333,0.941525833333333,9,"Blina","OS","92.02 (88.51, 94.15)"
0.877483333333333,0.835340833333333,0.910319166666667,10,"BSC","OS","87.75 (83.53, 91.03)"
0.917466666666667,0.880957500000001,0.93957,10,"Blina","OS","91.75 (88.1, 93.96)"
0.936366666666667,0.901965833333333,0.955924166666667,1,"BSC","PFS","93.64 (90.2, 95.59)"
0.948116666666667,0.9164125,0.967103333333333,1,"Blina","PFS","94.81 (91.64, 96.71)"
0.8874,0.843329166666667,0.91744,2,"BSC","PFS","88.74 (84.33, 91.74)"
0.9236,0.88766,0.947516666666667,2,"Blina","PFS","92.36 (88.77, 94.75)"
0.845766666666667,0.792961666666667,0.8849175,3,"BSC","PFS","84.58 (79.3, 88.49)"
0.9078,0.86579,0.936610833333333,3,"Blina","PFS","90.78 (86.58, 93.66)"
0.808966666666667,0.752786666666667,0.8550925,4,"BSC","PFS","80.9 (75.28, 85.51)"
0.8958,0.8486675,0.929334166666667,4,"Blina","PFS","89.58 (84.87, 92.93)"
0.785033333333333,0.7245775,0.836439999999999,5,"BSC","PFS","78.5 (72.46, 83.64)"
0.888033333333333,0.8386825,0.923616666666667,5,"Blina","PFS","88.8 (83.87, 92.36)"
0.7698,0.710210833333333,0.8251475,6,"BSC","PFS","76.98 (71.02, 82.51)"
0.8807,0.828876666666667,0.917838333333333,6,"Blina","PFS","88.07 (82.89, 91.78)"
0.759283333333333,0.699465833333333,0.818826666666666,7,"BSC","PFS","75.93 (69.95, 81.88)"
0.873433333333334,0.821989166666667,0.9114275,7,"Blina","PFS","87.34 (82.2, 91.14)"
0.753133333333333,0.691899166666666,0.813976666666666,8,"BSC","PFS","75.31 (69.19, 81.4)"
0.86695,0.815261666666667,0.906905,8,"Blina","PFS","86.69 (81.53, 90.69)"
0.748566666666667,0.686489166666666,0.811966666666667,9,"BSC","PFS","74.86 (68.65, 81.2)"
0.861816666666666,0.807794166666666,0.903616666666667,9,"Blina","PFS","86.18 (80.78, 90.36)"
0.745516666666667,0.682108333333333,0.8094025,10,"BSC","PFS","74.55 (68.21, 80.94)"
0.857716666666666,0.803436666666667,0.901573333333333,10,"Blina","PFS","85.77 (80.34, 90.16)"
