"Metric","Chemotherapy.only","Blinatumomab.and.chemotherapy","Incremental","discount","scenario","WTP","prop"
"Costs","272875.38 (242229.57, 311727.37)","305922.21 (278569.86, 340046.63)","33046.83 (15435.63, 47607.22)","discounted","base_case",50000,0.839506172839506
"QALYs","36.02 (34.15, 37.59)","37.12 (35.44, 38.57)","1.10 (0.57, 1.84)","discounted","base_case",50000,0.839506172839506
"ICER","","","30095.89","discounted","base_case",50000,0.839506172839506
"Costs","323111.43 (278049.34, 382570.04)","354940.09 (311185.36, 415615.91)","31828.66 (12800.84, 47783.46)","undiscounted","base_case",50000,0.977366255144033
"QALYs","59.74 (56.20, 62.71)","61.65 (58.54, 64.34)","1.92 (0.97, 3.21)","undiscounted","base_case",50000,0.977366255144033
"ICER","","","16612.80","undiscounted","base_case",50000,0.977366255144033
"Costs","271713.76 (241076.91, 309528.81)","299536.18 (272578.72, 333096.43)","27822.42 (10439.66, 42172.65)","discounted","blina_cost_low",50000,0.888888888888889
"QALYs","36.02 (34.15, 37.59)","37.12 (35.44, 38.57)","1.10 (0.57, 1.84)","discounted","blina_cost_low",50000,0.888888888888889
"ICER","","","25338.00","discounted","blina_cost_low",50000,0.888888888888889
"Costs","274036.75 (243102.80, 313340.84)","312308.18 (284750.92, 347048.80)","38271.42 (20426.86, 53042.33)","discounted","blina_cost_high",50000,0.779835390946502
"QALYs","36.02 (34.15, 37.59)","37.12 (35.44, 38.57)","1.10 (0.57, 1.84)","discounted","blina_cost_high",50000,0.779835390946502
"ICER","","","34853.95","discounted","blina_cost_high",50000,0.779835390946502
"Costs","272967.34 (242316.97, 311862.27)","306491.00 (279079.77, 340693.29)","33523.66 (16025.78, 48163.52)","discounted","ivig",50000,0.837448559670782
"QALYs","36.02 (34.15, 37.59)","37.12 (35.44, 38.57)","1.10 (0.57, 1.84)","discounted","ivig",50000,0.837448559670782
"ICER","","","30529.67","discounted","ivig",50000,0.837448559670782
