"blina","bsc","risk_ratio","time"
"7.84 (3.06, 16.18)","15.27 (9.58, 24.27)","0.52 (0.28, 0.75)","relapse_any"
"8.46 (5.31, 14.95)","13.2 (9.26, 19.95)","0.65 (0.47, 0.82)","bmt_any"
"0.91 (0.39, 2.21)","1.52 (0.8, 2.89)","0.61 (0.35, 0.96)","relapse_1yr"
"1.64 (0.81, 3.4)","3.79 (2.23, 5.8)","0.44 (0.25, 0.74)","relapse_2yr"
"2.24 (1.09, 4.46)","6.06 (3.71, 8.98)","0.36 (0.22, 0.65)","relapse_3yr"
"2.74 (1.41, 5.35)","8.38 (5.37, 12.04)","0.32 (0.19, 0.58)","relapse_4yr"
"3.07 (1.57, 5.98)","10.01 (6.5, 14.34)","0.3 (0.18, 0.55)","relapse_5yr"
"3.43 (1.8, 6.38)","10.98 (7.23, 15.59)","0.31 (0.19, 0.55)","relapse_6yr"
"3.77 (2.02, 6.83)","11.55 (7.62, 16.49)","0.32 (0.2, 0.56)","relapse_7yr"
"4.09 (2.26, 7.2)","11.93 (7.91, 17.09)","0.33 (0.22, 0.57)","relapse_8yr"
"4.33 (2.41, 7.57)","12.19 (8.12, 17.36)","0.35 (0.23, 0.58)","relapse_9yr"
"4.51 (2.52, 7.85)","12.34 (8.22, 17.61)","0.36 (0.24, 0.59)","relapse_10yr"
"3.77 (2.75, 5.34)","3.82 (2.77, 5.42)","0.99 (0.95, 1.02)","bmt_1yr"
"4.28 (3.07, 5.87)","4.87 (3.48, 6.58)","0.88 (0.77, 0.97)","bmt_2yr"
"4.67 (3.37, 6.26)","6 (4.35, 8.16)","0.77 (0.64, 0.9)","bmt_3yr"
"4.98 (3.55, 6.71)","7.34 (5.17, 9.99)","0.68 (0.54, 0.83)","bmt_4yr"
"5.23 (3.73, 7.05)","8.49 (5.95, 11.53)","0.62 (0.49, 0.78)","bmt_5yr"
"5.45 (3.9, 7.45)","9.25 (6.54, 12.61)","0.59 (0.46, 0.75)","bmt_6yr"
"5.65 (4.05, 7.76)","9.79 (6.88, 13.31)","0.58 (0.46, 0.74)","bmt_7yr"
"5.83 (4.18, 7.98)","10.14 (7.13, 13.8)","0.58 (0.46, 0.74)","bmt_8yr"
"5.97 (4.32, 8.25)","10.41 (7.28, 14.13)","0.58 (0.46, 0.74)","bmt_9yr"
"6.1 (4.41, 8.44)","10.56 (7.42, 14.37)","0.58 (0.46, 0.74)","bmt_10yr"
"1.11 (0.58, 2.74)","1.13 (0.59, 2.78)","0.99 (0.94, 1.01)","death_1yr"
"1.93 (1.2, 4.03)","2.12 (1.34, 4.22)","0.92 (0.83, 0.98)","death_2yr"
"2.45 (1.6, 4.7)","2.95 (1.93, 5.31)","0.85 (0.73, 0.95)","death_3yr"
"2.82 (1.88, 5.23)","3.75 (2.48, 6.33)","0.77 (0.63, 0.91)","death_4yr"
"3.11 (2.03, 5.56)","4.47 (3.01, 7.37)","0.71 (0.57, 0.87)","death_5yr"
"3.35 (2.22, 5.81)","5.12 (3.41, 8.27)","0.67 (0.53, 0.84)","death_6yr"
"3.58 (2.36, 6)","5.6 (3.69, 8.75)","0.64 (0.51, 0.82)","death_7yr"
"3.76 (2.49, 6.18)","5.96 (3.95, 9.21)","0.64 (0.5, 0.81)","death_8yr"
"3.92 (2.6, 6.42)","6.25 (4.14, 9.5)","0.63 (0.5, 0.81)","death_9yr"
"4.08 (2.71, 6.68)","6.46 (4.29, 9.8)","0.63 (0.5, 0.81)","death_10yr"
