"blina","bsc","risk_ratio","time"
"7.84 (3.06, 16.18)","15.27 (9.58, 24.27)","0.52 (0.28, 0.75)","relapse_any"
"8.41 (5.33, 14.85)","13.1 (9.27, 19.53)","0.65 (0.48, 0.82)","bmt_any"
"0.91 (0.39, 2.21)","1.52 (0.8, 2.89)","0.61 (0.35, 0.96)","relapse_1yr"
"1.64 (0.81, 3.4)","3.79 (2.23, 5.8)","0.44 (0.25, 0.74)","relapse_2yr"
"2.24 (1.09, 4.46)","6.06 (3.71, 8.98)","0.36 (0.22, 0.65)","relapse_3yr"
"2.74 (1.41, 5.35)","8.38 (5.37, 12.04)","0.32 (0.19, 0.58)","relapse_4yr"
"3.07 (1.57, 5.98)","10.01 (6.5, 14.34)","0.3 (0.18, 0.55)","relapse_5yr"
"3.43 (1.8, 6.38)","10.98 (7.23, 15.59)","0.31 (0.19, 0.55)","relapse_6yr"
"3.77 (2.02, 6.83)","11.55 (7.62, 16.49)","0.32 (0.2, 0.56)","relapse_7yr"
"4.09 (2.26, 7.2)","11.93 (7.91, 17.09)","0.33 (0.22, 0.57)","relapse_8yr"
"4.33 (2.41, 7.57)","12.19 (8.12, 17.36)","0.35 (0.23, 0.58)","relapse_9yr"
"4.51 (2.52, 7.85)","12.34 (8.22, 17.61)","0.36 (0.24, 0.59)","relapse_10yr"
"3.76 (2.75, 5.33)","3.82 (2.77, 5.42)","0.99 (0.95, 1.02)","bmt_1yr"
"4.26 (3.08, 5.87)","4.88 (3.49, 6.57)","0.88 (0.77, 0.97)","bmt_2yr"
"4.67 (3.36, 6.25)","6.01 (4.35, 8.14)","0.77 (0.64, 0.9)","bmt_3yr"
"4.99 (3.58, 6.75)","7.36 (5.2, 9.86)","0.68 (0.54, 0.83)","bmt_4yr"
"5.25 (3.74, 7.1)","8.51 (5.98, 11.38)","0.62 (0.48, 0.78)","bmt_5yr"
"5.48 (3.94, 7.51)","9.26 (6.55, 12.46)","0.59 (0.46, 0.75)","bmt_6yr"
"5.66 (4.07, 7.8)","9.81 (6.94, 13.2)","0.58 (0.46, 0.74)","bmt_7yr"
"5.85 (4.22, 8.01)","10.19 (7.18, 13.68)","0.58 (0.46, 0.74)","bmt_8yr"
"6 (4.36, 8.26)","10.41 (7.37, 14.03)","0.58 (0.46, 0.74)","bmt_9yr"
"6.12 (4.49, 8.5)","10.58 (7.47, 14.24)","0.58 (0.46, 0.74)","bmt_10yr"
"1.14 (0.59, 2.77)","1.16 (0.61, 2.81)","0.98 (0.92, 1.01)","death_1yr"
"1.98 (1.23, 4.04)","2.22 (1.4, 4.34)","0.91 (0.8, 0.98)","death_2yr"
"2.53 (1.63, 4.74)","3.14 (2.06, 5.54)","0.82 (0.7, 0.95)","death_3yr"
"2.93 (1.92, 5.31)","4 (2.67, 6.58)","0.74 (0.61, 0.89)","death_4yr"
"3.24 (2.11, 5.61)","4.83 (3.22, 7.68)","0.68 (0.54, 0.84)","death_5yr"
"3.49 (2.28, 5.88)","5.53 (3.61, 8.57)","0.64 (0.51, 0.82)","death_6yr"
"3.72 (2.42, 6.08)","6.05 (3.95, 9.28)","0.62 (0.49, 0.8)","death_7yr"
"3.95 (2.56, 6.31)","6.44 (4.24, 9.81)","0.61 (0.48, 0.79)","death_8yr"
"4.13 (2.68, 6.63)","6.76 (4.44, 10.2)","0.61 (0.48, 0.78)","death_9yr"
"4.29 (2.79, 6.81)","7.01 (4.61, 10.52)","0.61 (0.49, 0.78)","death_10yr"
