"est","lcl","ucl","years","arm","outcome","est_chr"
0.988383333333333,0.971879166666667,0.993908333333333,1,"BSC","OS","98.84 (97.19, 99.39)"
0.9886,0.972279166666667,0.9941,1,"Blina","OS","98.86 (97.23, 99.41)"
0.977766666666666,0.956609166666667,0.986033333333333,2,"BSC","OS","97.78 (95.66, 98.6)"
0.9802,0.959631666666667,0.987650833333333,2,"Blina","OS","98.02 (95.96, 98.77)"
0.968583333333334,0.944605,0.979419166666667,3,"BSC","OS","96.86 (94.46, 97.94)"
0.974716666666667,0.952565,0.983666666666666,3,"Blina","OS","97.47 (95.26, 98.37)"
0.960033333333333,0.934153333333333,0.9732925,4,"BSC","OS","96 (93.42, 97.33)"
0.970716666666666,0.946913333333333,0.980768333333334,4,"Blina","OS","97.07 (94.69, 98.08)"
0.951683333333333,0.923244166666667,0.967789166666667,5,"BSC","OS","95.17 (92.32, 96.78)"
0.96755,0.943863333333334,0.978936666666667,5,"Blina","OS","96.75 (94.39, 97.89)"
0.944716666666666,0.914331666666666,0.963854166666667,6,"BSC","OS","94.47 (91.43, 96.39)"
0.965116666666667,0.9412425,0.977236666666667,6,"Blina","OS","96.51 (94.12, 97.72)"
0.939516666666667,0.907156666666666,0.9605175,7,"BSC","OS","93.95 (90.72, 96.05)"
0.96275,0.939209166666667,0.975750833333333,7,"Blina","OS","96.28 (93.92, 97.58)"
0.93555,0.901859166666666,0.957625833333334,8,"BSC","OS","93.55 (90.19, 95.76)"
0.960516666666667,0.936883333333333,0.974413333333333,8,"Blina","OS","96.05 (93.69, 97.44)"
0.932433333333333,0.897952499999999,0.9555575,9,"BSC","OS","93.24 (89.8, 95.56)"
0.958716666666667,0.93369,0.973205833333333,9,"Blina","OS","95.87 (93.37, 97.32)"
0.929883333333334,0.894806666666667,0.953875833333334,10,"BSC","OS","92.99 (89.48, 95.39)"
0.957066666666667,0.9318975,0.9720675,10,"Blina","OS","95.71 (93.19, 97.21)"
0.969366666666667,0.94809,0.980420833333333,1,"BSC","PFS","96.94 (94.81, 98.04)"
0.975333333333333,0.957049166666667,0.984838333333333,1,"Blina","PFS","97.53 (95.7, 98.48)"
0.939283333333333,0.912565,0.958466666666667,2,"BSC","PFS","93.93 (91.26, 95.85)"
0.960266666666667,0.935170833333333,0.9742,2,"Blina","PFS","96.03 (93.52, 97.42)"
0.913266666666667,0.879610833333333,0.940836666666667,3,"BSC","PFS","91.33 (87.96, 94.08)"
0.952266666666667,0.92374,0.969005,3,"Blina","PFS","95.23 (92.37, 96.9)"
0.88835,0.849360833333333,0.922371666666667,4,"BSC","PFS","88.83 (84.94, 92.24)"
0.94555,0.911624166666667,0.964454166666667,4,"Blina","PFS","94.56 (91.16, 96.45)"
0.871333333333333,0.8253825,0.909068333333333,5,"BSC","PFS","87.13 (82.54, 90.91)"
0.9411,0.904546666666667,0.96144,5,"Blina","PFS","94.11 (90.45, 96.14)"
0.860733333333334,0.813425833333333,0.901901666666667,6,"BSC","PFS","86.07 (81.34, 90.19)"
0.936333333333333,0.898633333333333,0.9582,6,"Blina","PFS","93.63 (89.86, 95.82)"
0.854566666666667,0.804945833333333,0.896508333333333,7,"BSC","PFS","85.46 (80.49, 89.65)"
0.932183333333333,0.893764166666666,0.95487,7,"Blina","PFS","93.22 (89.38, 95.49)"
0.850016666666667,0.7999575,0.893105,8,"BSC","PFS","85 (80, 89.31)"
0.928616666666667,0.889598333333333,0.952238333333334,8,"Blina","PFS","92.86 (88.96, 95.22)"
0.846966666666666,0.795874166666666,0.890090833333333,9,"BSC","PFS","84.7 (79.59, 89.01)"
0.925666666666667,0.8866825,0.950035,9,"Blina","PFS","92.57 (88.67, 95)"
0.844883333333334,0.791246666666666,0.888851666666667,10,"BSC","PFS","84.49 (79.12, 88.89)"
0.923083333333333,0.882948333333334,0.9485175,10,"Blina","PFS","92.31 (88.29, 94.85)"
